English,Portuguese
Capture Server,Servidor de captura
Card Input Timeout,Tempo limite de entrada do cartão
Card Length,Comprimento do cartão
Card Retries,Novas tentativas de cartão
Carriers,Transportadoras
Category,Categoria
CC,CC
CDRs Older Than Days,CDRs anteriores a dias
Charge Type,Tipo de cobrança
Charges Breakdown,Discriminação de encargos
Charges History,Histórico de Encargos
CID,CID
City,Cidade
Clear,Claro
Client IP,IP do cliente
Client User Agent,Agente de usuário cliente
Code,Código
Codecs,Codecs
Commission,Comissão
Commission Rate,Taxa de comissão
Commission Reports,Relatórios de Comissão
Company,Companhia
Company Profiles,Perfis da empresa
Company Tax number,Número fiscal da empresa
Completed Calls,Chamadas Concluídas
Concurrent Calls,Chamadas simultâneas
Configuration,Configuração
Confirmed,Confirmado
Connection Cost,Custo de conexão
Contains,Contém
Cost,Custo
Cost/Min,Custo / Min
Countries,Países
Country,País
Country Code,Código do país
Country List,Lista de Países
Country Reports,Relatórios de país
Coupon Information,Informação do cupom
Coupon Number,Número do cupom
CPS,CPS
Create,Crio
Create Admin,Criar Admin
Create calltype,Criar tipo de chamada
Create Company Profile,Criar Perfil da Empresa
Create Customer,Criar Cliente
Create Origination Rate,Criar taxa de origem
Create Product,Criar Produto
Create Provider,Criar Provedor
Create Rate Group,Criar grupo de taxas
Create Refill Coupon,Criar cupom de recarga
Create SIP Device,Criar Dispositivo SIP
Create Tax,Criar imposto
Created Date,Data de criação
Creation Date,Data de criação
Credit,Crédito
Credit Limit,Limite de crédito
Crons,Crons
Currency,Moeda
Currency Conversion Loss Percentage,Porcentagem de perda de conversão de moeda
Currency List,Lista de Moedas
Customer,Cliente
Customer CDRs Report,Relatório de CDRs do cliente
Customer Summary,Resumo do cliente
Customer Summary Report,Relatório de Resumo do Cliente
Customers,clientes
Dashboard,painel de controle
Database,Base de dados
Date,Encontro
Debit,Débito
Debug,Depurar
Decimal Points,Pontos decimais
Default Increment,Incremento Padrão
Default Invoice Mode,Modo de fatura padrão
Default Tax,Imposto Padrão
Delete,Excluir
Deleted Accounts After Days,Contas excluídas após dias
Description,Descrição
Destination,Destino
Dial Input Timeout,Tempo limite de entrada de discagem
DID,FEZ
DIDs,DIDs
Direction,Direção
Disable,Desabilitar
Display records in,Exibir registros em
Disposition,Disposição
Documentation,Documentação
Doesnt Contain,Não Contém
Domain,Domínio
Draft,"Esboço, projeto"
Due Date,Data de Vencimento
Duplicate,Duplicado
Duration,Duração
Email,O email
Email Alerts ?,Alertas de E-mail ?
Email History,Histórico de Email
Email History List,Lista de Histórico de Email
Email Notification,Notificação de Email
Email Notifications,Notificações por Email
Email Status,Status do email
Email Template,Modelo de Email
Emails Older Than Days,Emails anteriores a dias
En,En
Enable,Habilitar
Enable Signup,Habilitar inscrição
Ends With,Termina com
Enterprise,Empreendimento
Entity Type,Tipo de entidade
Environment,Meio Ambiente
Ewallet Payment Gateway,Ewallet Payment Gateway
Expired Accounts After Days,Contas expiradas após dias
Expiry Date,Data de validade
Export,Exportar
Failover GW Name #1,Nome de GW de failover nº 1
Failover GW Name #2,Nome de GW de failover # 2
Favicon,Favicon
Fax,Fax
Fee,Taxa
File Path,Caminho de arquivo
Filter,Filtro
First Name,Primeiro nome
First Used,Usado pela primeira vez
Fixer Key,Chave fixadora
FMAddon,FMAddon
Footer,Rodapé
Fraud Detection,Detecção de fraude
Free Minutes,Minutos grátis
FreeSwitch Servers,Servidores FreeSwitch
From,De
From Date,Da data
From Timestamp,De Timestamp
Gateway Name,Nome do Gateway
Gateways,Entradas
General,Geral
General Input Timeout,Tempo Limite de Entrada Geral
Generate Invoice,Gerar Fatura
Generate Pin,Gerar PIN
Generates Alarm From System,Gera Alarme do Sistema
Generates Local Number system,Gera sistema de numeração local
Generates ticket of issues from system,Gera tíquete de problemas do sistema
Generates Various Alarms From System,Gera Vários Alarmes do Sistema
Generates Various Country Reports From S,Gera vários relatórios de país de S
Generates various reports from system,Gera vários relatórios do sistema
Get Addons,Obtenha complementos
Get App,Obter App
Global,Global
Grace Time,Tempo de graça
Grand Total,Total geral
Group By,Grupo por
Group By #1,Grupo por # 1
Group By #2,Grupo por # 2
Group By #3,Grupo por # 3
Group By #Time,Agrupar por #Time
Header,Cabeçalho
Homer,Homer
Host,Hospedeiro
Import,Importar
Import Customers,Clientes Importados
Import with field map,Importar com mapa de campo
Inbound,De entrada
Inbound Fax,Fax de entrada
Included Seconds,Segundos incluídos
Increment,Incremento
Initial Balance,Balanço inicial
Initial Increment,Incremento Inicial
Inovices Older Than Days,Inovações anteriores a dias
Install,Instalar
Installed,Instalado
Interval,Intervalo
Interval Type,Tipo de intervalo
Invoice Configuration,Configuração de fatura
Invoice Date,Data da fatura
Invoice Due Days,Dias de vencimento da fatura
Invoice Due Notification,Notificação de fatura vencida
Invoice Notification,Notificação de fatura
Invoice Number,Número da Fatura
Invoice Prefix,Prefixo da fatura
Invoice Start Form,Formulário de início de fatura
Invoices,Faturas
IP,IP
IP Settings,Configurações de IP
Is Equal To,É igual a
Is Not Equal To,Não é igual a
Is Purchased?,É comprado?
Iso,Iso
Iso3,Iso3
IVR Count,IVR Count
Languages,línguas
Last Execution Date,Data da Última Execução
Last Modified Date,Data da Última Modificação
Last Name,Último nome
Last Paid Date,Última Data de Pagamento
Latest Orders,Últimos Pedidos
LC Charge / Min,Carga LC / Min
LC Charge/Min,Carga LC / Min
Live,Viver
Live Call Report,Relatório de chamadas ao vivo
Live Id,Id ao vivo
Live Key,Live Key
Live Url,Url ao vivo
Local Call Timeout,Tempo limite de chamada local
Local Number,Número local
Local Numbers,Números Locais
Locale code,Código local
Localization,Localização
Localization Type,Tipo de localização
Localizations,Localizações
Log out,Sair
Log Path,Caminho de registro
Logo,Logotipo
Low balance Alert?,Alerta de saldo baixo?
Mail Log,Registro de e-mail
Manually,Manualmente
Markup,Markup
Mass Create,Criação em massa
Mass Email,Email em massa
Max Free Length,Comprimento Máximo Livre
MCD,MCD
Minimum Fund Transfer,Transferência de fundo mínimo
Minutes,Minutos
Minutes Announcement,Anúncio da Ata
Minutes Breakdown,Discriminação de minutos
Moderate,Moderado
Modified Date,Data modificada
Module,Módulo
Name,Nome
New Accounts,Novas contas
Nexmo API Key,Nexmo API Key
Nexmo Secret Key,Chave secreta Nexmo
Next Execution Date,Próxima data de execução
Nickname,Apelido
No,Não
No Records Found,Nenhum registro foi encontrado
Notes,Notas
Notifications,Notificações
Notify before due days,Notificar antes dos dias de vencimento
Number,Número
Number Type,Tipo de número
 of , do 
Opensips,OpenSips
Opensips DB Engine,Openips DB Engine
Opensips DB Host,OpenSips DB Host
Opensips DB Name,Nome do banco de dados do Opensips
Opensips DB Pass,Openips DB Pass
Opensips DB User,Usuário de banco de dados Opensips
Opensips Domain,Domínio Opensips
Opensource,Código aberto
Order,Ordem
Order Amount,Valor do pedido
Order Date,Data do pedido
Order ID,ID do pedido
Order Now,Peça agora
Orders,Pedidos
Org. Cost,Org. Custo
Org. Destination,Org. Destino
Org. Pefix,Org. Pefix
Origination Rates,Taxas de Originação
Outbound Fax,Envio de Fax
Outstanding Amount INR,Quantidade pendente INR
Page ,Página 
Password,Senha
Password Strength,Força da senha
Payment Method,Forma de pagamento
Payment Methods,Métodos de Pagamento
Payment Status,Status do pagamento
Paypal,Paypal
Per Minute Cost,Custo por minuto
Phone,telefone
Pin Input Timeout,Tempo limite de entrada do pino
Pin Length,Comprimento do pino
Pin retries,Tentativas de pin
Pinless Authentication,Autenticação sem Pin
Place Order,Faça a encomenda
Playback Audio Notifications,Notificações de reprodução de áudio
Port,Porta
Portal personalization,Personalização do portal
Powered by ASTPP,Desenvolvido por ASTPP
Prefix,Prefixo
Prepend,Prepend
Preserve,Preservar
Price,Preço
Priority,Prioridade
Product Category,Categoria de Produto
Product Details,Detalhes do produto
Product Name,Nome do Produto
Products,Produtos
Profile Action,Ação do Perfil
Profit,Lucro
Provider,Fornecedor
Provider CDRs Report,Relatório de CDRs do provedor
Provider Outbound,Provider Outbound
Provider Outbound Report,Relatório de saída do provedor
Provider Summary Report,Relatório de resumo do provedor
Province,Província
Province/State,Província / Estado
Proxy,Proxy
Purge,Purga
Push Notifications,Notificações via push
Quantity,Quantidade
Rate,Taxa
Rate Announcement,Anúncio de taxa
Rate Count,Taxa de contagem
Rate Group,Grupo de taxas
Rate Groups,Classificar grupos
Rate Information,Informação de taxa
Ratedeck,Ratedeck
Ratedeck Information,Informação de verificação nominal
Rates Count,Contagem de taxas
Realtime Billing,Faturamento em tempo real
Receiver Email,Email do Destinatário
Recording Files Older Than Days,Gravando arquivos com mais de dias
 Records, Registros
Referer Page,Página de referência
Refill By,Recarregar por
Refill Coupon Length,Comprimento do cupom de recarga
Refill Coupons,Cupons de recarga
Refill Report,Relatório de recarga
Refills,Recargas
Register,Registro
Release if no balance,Solte se não houver saldo
Report a Bug,Reportar um erro
Reports,Relatórios
Request URI,Solicitar URI
Reseller,Revendedor
Reseller can resell,O revendedor pode revender
Reseller Summary,Resumo do revendedor
Reseller Summary Report,Relatório de resumo do revendedor
Resellers,Revendedores
Resellers CDRs Report,Relatório de CDRs de revendedores
Resend Mail,Reenviar e-mail
Role,Função
Roles & Permission,Funções e permissão
Roles & Permissions,Funções e permissões
Routing Prefix,Prefixo de roteamento
Routing Type,Tipo de Roteamento
Sandbox,Caixa de areia
Sandbox Id,Id da sandbox
Sandbox Key,Chave da Sandbox
Sandbox Name,Nome da Sandbox
Sandbox Url,Sandbox Url
Save,Salve 
Schedule Reports,Relatórios de programação
Search,Pesquisa
Select File,Selecione o arquivo
Select Year,Selecione o ano
Services,Serviços
Set Maximum Add card limit,Definir limite máximo de adição de cartão
Settings,Configurações
Setup Fee,Taxa criada
Signup,Inscrever-se
SIP Devices,Dispositivos SIP
SIP IP,IP SIP
SIP Port,Porta SIP
SIP Profile,Perfil SIP
SIP Profiles,Perfis SIP
SMS,SMS
SMS Body,Corpo SMS
SMS Notifications,Notificações SMS
SMS Status,Status de SMS
SMTP,SMTP
SMTP Host,Host SMTP
SMTP Pass,Passe SMTP
SMTP Port,Porta SMTP
SMTP User,Usuário SMTP
Start prefix,Prefixo inicial
Starting Digit,Dígito Inicial
Status,Status
Strip,Faixa
Strong,Forte
Subject,Sujeito
Subscription,Inscrição
Supportticket,Supportticket
Switch,Interruptor
Tariff,Tarifa
Tax,Imposto
Tax Information,Informação de impostos
Telephone,Telefone
Telephone as account number,Telefone como número de conta
Templates,Modelos
Term. Cost,Prazo. Custo
Term. Destination,Prazo. Destino
Term. Prefix,Prazo. Prefixo
Term. Trunk,Prazo. Tronco
Termination Rates,Taxas de rescisão
Third Party,Terceiro
This Month,Este mês
This Week,Esta semana
Timelimit Announcement,Anúncio de limite de tempo
Timestamp,Timestamp
Timezone,Fuso horário
To,Para
To Number,Enumerar
To Timestamp,Para Timestamp
Today,Hoje
Top 10 Accounts,10 principais contas
Top 10 Destinations,10 principais destinos
Total Calls,Total de chamadas
Total Charges,Custos totais
Total Minutes,Minutos Totais
Transaction ID,ID de transação
Translations,Traduções
Translations Language,Idioma das traduções
Trunk,Tronco
Trunks,Roupa de baixo
Type,Tipo
Unpaid,Não pago
Update,Atualizar
Used,Usava
Used Date,Data de Uso
Username,Nome do usuário
Version,Versão
Version 4.0 Beta,Versão 4.0 Beta
View All,Ver tudo
View Details,Ver detalhes
Voicemail,Correio de voz
Voicemail Number,Número de correio de voz
Website,Local na rede Internet
Welcome File,Arquivo de Boas Vindas
Yes,sim
Zip Code,Código postal
Panel Access,Acesso ao painel
Profile,Perfil
Billing Settings,Configurações de faturamento
Pin,PIN
Account Settings,Configurações da conta
Notification Email,Email de Notificação
Address,Endereço
NON-CLI Rate Group,Grupo de taxas NÃO CLI
Billing Schedule,Cronograma de faturamento
Billing Day,Dia de Faturamento
Tax Number,Número de identificação fiscal
Invoice Note,Nota de Fatura
Reference,Referência
Cancel,Cancelar
Device Information,Informação de dispositivo
Voicemail Options,Opções de correio de voz
Mail To,Correio para
Attach File,Anexar Arquivo
Local After Email,Local Após Email
Send all Message,Enviar todas as mensagens
Close,Fechar
IP map,Mapa de IP
Identificador de llamadas,Identificador de llamadas
Add Caller ID,Adicionar identificador de chamadas
Create Reseller,Criar Revendedor
Role Name,Nome do papel
Outstanding Amount,Quantidade pendente
To Date,Até a presente data
Before Balance,Antes do equilíbrio
Commission Report,Relatório de Comissão
MonthlyFee,Taxa mensal
Grace Time (Sec.),Tempo de graça (seg.)
Import DIDs,Importar DIDs
File must be in the following format,O arquivo deve estar no seguinte formato
DID Import Process,Processo de Importação DID
Get Sample file,Obter arquivo de amostra
Check Header,Verificar cabeçalho
Select the file,Selecione o arquivo
Account Count,Contagem de contas
Acc. Number Length,Acc. Comprimento do número
Valid Days,Dias válidos
Create Access Number,Criar número de acesso
Information,Em formação
Import Access Numbers,Importar números de acesso
Access Numbers Import Process,Processo de importação de números de acesso
DIDs Bulk Assign,Atribuição em massa de DIDs
Bulk DID Purchase,Compra em massa DID
Provience,Proviência
Assign Number,Atribuir número
DID Destination,Destino DID
DID Forward,DID Forward
Always,Sempre
If Busy,Se Ocupado
If SIP Not Registered,Se o SIP não estiver registrado
If No Answer,Se não houver resposta
New Rate Group Name,Novo nome do grupo de taxas
Duplicate Rate Group Information,Informações duplicadas do grupo de taxas
Import Origination Rates,Taxas de origem de importação
Force Trunk,Forçar tronco
Please select atleast one record to dele,Selecione pelo menos um registro para deletar
Import Ratedeck,Importar verificação nominal
Optional Information,informação opcional
From- Domain,De- Domínio
From User,Do usuário
Extension,Extensão
Extension-In-Contact,Extensão em contato
Ping,Ping
Contact Params,Contact Params
Retry-Seconds,Tentar novamente em segundos
Register-Proxy,Register-Proxy
Channel,Canal
Failover GW Name,Nome de GW de failover
Create Trunk,Criar tronco
Import Termination Rates,Taxas de rescisão de importação
Call Timeout (Sec.),Tempo limite da chamada (seg.)
Trunk List,Lista de Troncos
Reset,Redefinir
Create SIP Profile,Criar Perfil SIP
Create Freeswitch Server,Criar servidor Freeswitch
Live Calls,Chamadas ao vivo
Term Cost,Custo do Termo
Term Destination,Destino do Termo
Term Prefix,Prefixo do termo
Localizaciones,Localizaciones
Create Localization,Criar localização
Origination,Originação
Termination,Terminação
Inbound Callerid Translation,Tradução de Callerid de entrada
Destination Number Translation,Tradução do número de destino
Outbound Callerid Translation,Tradução de Callerid de saída
Create Call Barring,Criar bloqueio de chamadas
Callbarring Settings,Configurações de barra de chamada
Product Summary Report,Relatório de resumo do produto
SIP User,Usuário SIP
Product,produtos
Taxes,Impostos
Update Currencies,Atualizar moedas
File Name,Nome do arquivo
Database Information,Informação de banco de dados
Database Backup,Backup de banco de dados
Command,Comando
Cron Settings,Configurações do cron
Create Cron Settings,Criar configurações de cron
Stripe,Listra
Live Secret key,Chave secreta ao vivo
Live Publishable key,Chave para publicação ao vivo
Set Percentage Charges,Definir taxas de cobrança
Set Fix Charges,Definir taxas fixas
Stripe Mode,Modo Stripe
Sandbox secret key,Chave secreta da sandbox
Sandbox publishable key,Chave publicável da sandbox
Version 4.0 Enterprise,Versão 4.0 Enterprise
Powered by,Distribuído por
Import Customer Using Field Mapper,Importar cliente usando mapeador de campo
You must either select a field from your,Você deve selecionar um campo de seu
Records with duplicate account number an,Registros com número de conta duplicado e
Account Import Error,Erro de importação de conta
Back to Customer List,Voltar para a lista de clientes
Duplicate accounts with account number /,Contas duplicadas com número de conta /
Records imported successfully,Registros importados com sucesso
Records not imported,Registros não importados
Error In CSV File,Erro no arquivo CSV
Invoice Summary,Resumo da fatura
Customer Details,Detalhes do cliente
Invoice Details,Detalhes da fatura
Account Number,Número da conta
Invoice Amount,Valor da fatura
Invoice Item,Item de fatura
Sub Total,Subtotal
Total Due,Total Devido
Note,Nota
Add Setting,Adicionar configuração
Edit SIP Profile,Editar Perfil SIP
New,Novo
Used?,Usava?
View Email,Ver Email
Active,Ativo
Inactive,Inativo
Black List,Lista negra
White List,Lista Branca
Freeswitch Server Information,Informações do servidor Freeswitch
Currencies,Moedas
Edit Currency,Editar Moeda
Is Distributor,É distribuidor
Package created successfully!,Pacote criado com sucesso!
DID Removed Successfully.,DID removido com sucesso.
DID not found.,DID não encontrado.
Password changed Sucessfully....!!!,Senha alterada com sucesso .... !!!
New Password & Conformpassword not match,Nova senha e senha de conformidade não correspondem
Invalid old passwword.,Senha antiga inválida.
Permission Denied!,Permissão negada!
Refill Coupon amount is added successful,O valor do cupom de recarga foi adicionado com sucesso
PLease upload maximum file,"Por favor, carregue o arquivo máximo"
files added successfully!,arquivos adicionados com sucesso!
File Uploading Fail Please Try Again,"Falha no upload do arquivo, tente novamente"
Please upload only image!,Por favor carregue apenas imagem!
Invoice config updated successfully!,Configuração da fatura atualizada com sucesso!
Your Profile Updated Successfully!,Seu perfil foi atualizado com sucesso!
Something wrong.Please contact to admini,Algo errado. Entre em contato com o admini
DID Released Successfully!,Lançado com sucesso!
IP already exist in system.,O IP já existe no sistema.
IP Added Sucessfully.,IP adicionado com sucesso.
IP Removed Sucessfully.,IP removido com sucesso.
SIP Device Updated Successfully!,Dispositivo SIP atualizado com sucesso!
SIP Device Added Successfully!,Dispositivo SIP adicionado com sucesso!
SIP Device Removed Sucessfully!,Dispositivo SIP removido com sucesso!
Caller ID Added Sucessfully!,Identificador de chamadas adicionado com sucesso!
Please Enter Caller ID value.,Insira o valor do Caller ID.
Caller ID already Exists.,O identificador de chamadas já existe.
Caller ID removed sucessfully!,Identificador de chamadas removido com sucesso!
Alert Threshold Updated Successfully!,Limite de alerta atualizado com sucesso!
Can not trnasfer fund to postpaid custom,Não é possível transferir fundos para clientes pós-pagos
Access Denied! unable transfer fund to t,Acesso negado! incapaz de transferir fundos para t
You can not transfer fund in same account,Você não pode transferir fundos na mesma conta
You can only transfer fund in same level,Você só pode transferir fundos no mesmo nível
Please enter To account number.,"Por favor, insira o número da conta."
Please enter valid amount.,"Por favor, insira um valor válido."
You have insufficient balance.,Você tem saldo insuficiente.
Please enter valid account number.,"Por favor, insira um número de conta válido."
Please enter amount greater then 0.,Insira um valor maior que 0.
You need to enter minimum for fund trans,Você precisa inserir o mínimo para transações de fundos
Please enter valid account number!,"Por favor, insira um número de conta válido!"
Insuffiecient amount !,Quantidade insuficiente!
Transfer successfully!,Transferência com sucesso!
Account number not found.,Número da conta não encontrado.
OpenSips updated successfully!,OpenSips atualizado com sucesso!
Duplicate Username Found.Username Must b,Nome de usuário duplicado encontrado. Nome de usuário deve b
User name is required field.,O nome do usuário é um campo obrigatório.
Opensips Device Removed Successfully!.,Dispositivo Opensips removido com sucesso !.
Speed-dial Number Added Successfully!,Número de discagem rápida adicionado com sucesso!
Can not delete blank speeddial number,Não é possível excluir o número de discagem rápida em branco
Speed-dial Number Removed Successfully!,Número de discagem rápida removido com sucesso!
Pin Updated Successfully!,Pin atualizado com sucesso!
DID Updated Successfully!,FEZ atualizado com sucesso!
for fund transfer.,para transferência de fundos.
You need to enter minimum,Você precisa inserir o mínimo
please enter recharge value,por favor insira o valor de recarga
New Password,Nova senha
Old Password,Senha Antiga
Conform Password,Conformar senha
Letters only please,Apenas cartas por favor
IP Mapping,Mapeamento de IP
The Coupon Number field must contain onl,O campo Número do cupom deve conter apenas
The Coupon Number field have inactive re,O campo Número do cupom tem re
This Coupon Number is already in use.,Este número de cupom já está em uso.
This Coupon Number is not found.,Este número de cupom não foi encontrado.
The Coupon Number field is required.,O campo Número do cupom é obrigatório.
REFILL COUPON RECHARGE,RECARREGAR CUPÃO
You just recharged,Você acabou de recarregar
account with The new balance will be,conta com O novo saldo será
My Profile,Meu perfil
My Account,Minha conta
Alert Threshold,Limiar de Alerta
The Caller ID field is required.,O campo Caller ID é obrigatório.
Change Password,Mudar senha
Bill Type,Tipo de conta
Bill Days,Bill Dias
New Products,Novos Produtos
Active Products,Produtos Ativos
Outstanding,Excepcional
Today's Calls,Chamadas de hoje
Recent Calls,Chamadas recentes
The Available DIDs field is required.,O campo DIDs disponíveis é obrigatório.
Please enter your password,"Por favor, insira sua senha"
Please enter your first name,por favor entre com seu primeiro nome
Please enter your email,Por favor introduza o seu e-mail
Please enter valid email,Por favor insira um email válido
This field is required.,Este campo é obrigatório.
Email Setting,Configuração de Email
SMTP Password,Senha SMTP
Are you sure want to remove logo?,Tem certeza que deseja remover o logotipo?
The IP field must contain a unique value,O campo IP deve conter um valor único
The IP field have not valid IP.,O campo IP não tem um IP válido.
The IP field is required.,O campo IP é obrigatório.
The Name field is required.,O campo nome é obrigatório.
Please enter only alpha-numeric value,Insira apenas o valor alfanumérico
Are you sure want to delete speed dial r,Tem certeza que deseja excluir a discagem rápida r
Generated Date,Data Gerada
My Products,Meus Produtos
Pinless CLI,CLI sem pino
Refill Coupon,Recarregar cupom
TopUp,Completar
Pay with Paypal,Pague com Paypal
Pay with Card,Pague com Cartão
Assign,Atribuir
Send Credit,Enviar Crédito
To Account,Para a conta
From Account,Da conta
Transfer,Transferir
Telephone 1,Telefone 1
Telephone 2,Telefone 2
Address 2,Endereço 2
Zip/Postal Code,CEP / Código Postal
User Profile,Perfil de usuário
Low Balance Alert Level,Nível de alerta de baixo equilíbrio
Enable Email Alerts ?,Ativar alertas de e-mail?
Low Balance Alert Email,Email de alerta de baixo saldo
User name,Nome do usuário
Something went to wrong !,Algo deu errado!
Product Purchased successfully !,Produto adquirido com sucesso!
Insufficent Balance to purchase product ,Saldo insuficiente para comprar produto
Product assigned successfully!,Produto atribuído com sucesso!
Something went wrong !,Algo deu errado!
Product Not Found,Produto não encontrado
Transaction has been failed,A transação falhou
not inserted. Transaction has been faile,não inserido. A transação foi falhada
Select Customer.,Selecione Cliente.
Product Information,informação do produto
Price+SetUp Fee,Preço + taxa de configuração
Use Voucher,Usar voucher
Amount Without Tax,Montante sem impostos
Total Tax,Taxa total
Amount With Tax,Valor com imposto
Parent Products,Produtos Pais
Edit Product,Editar Produto
Product updated successfully!,Produto atualizado com sucesso!
Product added successfully!,Produto adicionado com sucesso!
Product removed successfully!,Produto removido com sucesso!
Product optin successfully!,Autorização do produto com sucesso!
Edit Info,Editar informação
Product assign successfully,Produto atribuído com sucesso
Insufficient balance to assign product!,Saldo insuficiente para atribuir produto!
Terminated Updated Successfully!,Terminado Atualizado com sucesso!
Terminated,Rescindido
Setup Cost,Custo de instalação
Order New,Novo pedido
Caller ID updated successfully!,ID do chamador atualizado com sucesso!
Caller ID added successfully!,Identificador de chamadas adicionado com sucesso!
Caller ID removed successfully!,Identificador de chamadas removido com sucesso!
Name is not contain any space,O nome não contém nenhum espaço
Name already exist in system.,O nome já existe no sistema.
Callbarring Settings Updated Successfull,Configurações de barra de chamada atualizadas com sucesso
allbarring Settings Added Successfully!,Configurações allbarring adicionadas com sucesso!
Call Barring Removed Successfully!,Bloqueio de chamadas removido com sucesso!
Calltype already exist in system.,Calltype já existe no sistema.
Calltype Updated Successfully!,Calltype atualizado com sucesso!
Calltype Added Successfully!,Calltype adicionado com sucesso!
calltype removed successfully!,calltype removido com sucesso!
File must be in the following format(.cs,O arquivo deve estar no seguinte formato (.cs
Import Package Codes:,Códigos de pacote de importação:
Records Imported Successfully:,Registros importados com sucesso:
Records Not Imported :,Registros não importados:
Download Errors,Erros de download
Back to Package Patterns List,Voltar para a lista de padrões de pacote
Add To List,Adicionado a lista
Routing Prefix already exist in system.,O prefixo de roteamento já existe no sistema.
Rate Group Updated Successfully!,Grupo de avaliação atualizado com sucesso!
Rate Group Added Successfully!,Grupo de classificação adicionado com sucesso!
Duplicate Rate Group Added Successfully!,Grupo de taxas duplicado adicionado com sucesso!
Routing Prefix (Enterprise),Prefixo de roteamento (empresa)
Priority (Enterprise),Prioridade (empresa)
Percentage (WIP) (Enterprise),Porcentagem (WIP) (Enterprise)
LCR,LCR
Percentage,Percentagem
Tax removed successfully!,Imposto removido com sucesso!
Tax added successfully!,Imposto adicionado com sucesso!
Tax updated successfully!,Imposto atualizado com sucesso!
Charges List,Lista de Encargos
Trunk Updated Successfully!,Tronco atualizado com sucesso!
Trunk Added Successfully!,Tronco adicionado com sucesso!
Trunk removed successfully!,Tronco removido com sucesso!
setting updated successfully!,configuração atualizada com sucesso!
Template Updated Successfully!,Modelo atualizado com sucesso!
Template Added Successfully!,Modelo adicionado com sucesso!
Country Updated successfully!,País atualizado com sucesso!
Country Added successfully!,País adicionado com sucesso!
Country removed successfully!,País removido com sucesso!
Currency Updated Successfully!,Moeda atualizada com sucesso!
Rates,Cotações
My Rates,Minhas taxas
Cost / Min,Custo / Min
Purchase,Compra
Available DIDs,DIDs disponíveis
New IP,Novo IP
Digits,Dígitos
Email Address,Endereço de e-mail
Call Forward,Reencaminhamento de chamadas
If Busy:,Se ocupado:
If SIP Not Registered:,Se o SIP não estiver registrado:
If No Answer:,Se não houver resposta:
Pay Now,Pague agora
Pay with Account,Pague com conta
Please wait,"Por favor, espere"
Coupon Number:,Número do cupom:
Add Voucher,Adicionar voucher
Selected Plan,Plano Selecionado
My Product,Meu produto
Parent Product,Produto Pai
Edit Email Template,Editar modelo de email
Details,Detalhes
KEY,CHAVE
Value,VALOR
Records with duplicate account number and email will be ignored.,Registros com número de conta e e-mail duplicados serão ignorados.
Account Details,Detalhes da conta
Mass Customer,Mass Customer
Daily,Diariamente
Monthly,Por mês
Prepaid,Pré-pago
Postpaid,Pós-pago
