English,Spanish
Create Recording,Crear grabación
Recording Added Successfully!,Grabación añadida con éxito!
Recording deleted successfully!,Grabación eliminada con éxito!
Remove,retirar
Recording Information,Grabacion de informacion
"to create a recording, or (for best results) upload a 16bit 8khz/16khz mono WAV file.","para crear una grabación, o (para obtener los mejores resultados) cargar un archivo de 16 bits 8khz / 16khz mono WAV."
Dial,Marcar
Ring Group,Grupo de anillos
Ring Group Add,Grupo de timbre añadir
Edit Ring Group,Editar grupo de timbre
Create Ringgroup,Crear grupo de anillos
Ring group added successfully!,Grupo de anillo añadido correctamente!
Ring group updated successfully!,Grupo de timbre actualizado con éxito!
Ring group deleted successfully!,Grupo de timbre eliminado correctamente!
Ring Group Information,Información del grupo de timbre
Do you want create sip devices?,¿Quieres crear dispositivos sip?
Sip device Count,Dispositivo de sorbo
Next,Siguiente
Basic Settings,Ajustes básicos
Ring Strategy,Estrategia de anillo
Sequence,Secuencia
Simultaneous,Simultáneo
Delay (Seconds),Retraso (segundos)
Timeout (Seconds),Tiempo de espera (segundos)
Prompt,Rápido
Announcement,Anuncio
CID Name Prefix,Prefijo de nombre CID
CID Number Prefix,Prefijo de número CID
Call Recording,Grabacion de llamada
Forcefully Enable,Habilitar a la fuerza
Forcefully Disable,Deshabilitar a la fuerza
Enable,Habilitar
Skip busy,Saltar ocupado
No Answer Call Type,Sin respuesta Tipo de llamada
Call Routing,Enrutamiento de llamadas
Allow Recording,Permitir la grabación
Enabled,Habilitado
Disabled,Discapacitado
Extension,Extensión
Time Conditions List,Lista de condiciones de tiempo
Create Time Conditions,Crear condiciones de tiempo
Edit Time Conditions,Condiciones de edición de tiempo
Time Conditions Added Successfully!,Condiciones de tiempo añadidas con éxito!
Time Conditions Updated Successfully!,Condiciones de tiempo actualizadas con éxito!
Time Conditions removed successfully!,Condiciones de tiempo eliminadas con éxito!
Failover Condition,Condición de conmutación por error
Start Hour,Hora de inicio
Week day,Día laborable
Month day,Mes dia
End Hour,Hora final
Jan,ene
Feb,feb
Mar,mar
Apr,abr
May,Mayo
Jun,jun
Jul,jul
Aug,ago
Sep,sep
Oct,oct
Nov,nov
Dec,dic
Sunday,domingo
Monday,lunes
Tuesday,martes
Wednesday,miércoles
Thursday,jueves
Friday,viernes
Saturday,sábado
Extensions Destination,Extensiones Destino
Extensions Call Type,Extensiones tipo de llamada
Month,Mes
Year,Año
Ignore Busy,Ignorar ocupado
Do Not Disturb,No molestar
Pickup Group List,Lista de grupos de recogida
Allow Pickup Group List,Permitir lista de grupos de recogida
Not Registered,No registrado
Call Waiting,Llamada en espera
On Busy,En ocupado
No Answer,Sin respuesta
Destinations,Destinos
Follow Me,Sígueme
Conference Profile,Perfil de conferencia
Conference Controls,Controles de conferencia
Conference,Conferencia
Time Conditions,Condiciones de tiempo
RingGroup,Grupo de anillos
IVR,IVR
Basic Setting,Configuración básica
Advance Settings,Configuraciones avanzadas
Agent Back-Tone,Tono de fondo del agente
Customer Back-Tone,Tono de fondo del cliente
Time Condition,Condición de tiempo
