English,Romanian
Create Origination Rate,Creați rata de inițiere
Create Product ,Creați produs
Create Provider,Creați furnizor
Create Rate Group,Creați un grup de rate
Create Refill Coupon,Creați cupon de reumplere
Create SIP Device,Creați dispozitiv SIP
Create Tax,Creați impozite
Created Date,data creata
Creation Date,Data crearii
Credit,Credit
Credit Limit,Limita de credit
Crons,Crons
Currency,Valută
Currency Conversion Loss Percentage,Procentul pierderii conversiei valutare
Currency List,Lista valutară
Customer,Client
Customer CDRs Report ,Raport CDR client
Customer Summary,Rezumatul clientului
Customer Summary Report ,Raport sumar client
Customers,Clienți
Dashboard,Bord
Database,Bază de date
Date,Data
Debit,Debit
Debug,Depanare
Decimal Points,Puncte zecimale
Default Increment ,Increment implicit
Default Invoice Mode,Mod implicit de facturare
Default Tax,Impozit implicit
Delete,Șterge
Deleted Accounts After Days,Conturi șterse după zile
Description,Descriere
Destination,Destinaţie
Dial Input Timeout,Apelați Input Timeout
DID,FĂCUT
DIDs,DID-uri
Direction,Direcţie
Disable,Dezactivează
Display records in,Afișați înregistrările în
Disposition,Dispoziţie
Documentation,Documentație
Doesnt Contain,Nu conține
Domain,Domeniu
Draft,Proiect
Due Date,Data scadentă
Duplicate,Duplicat
Duration,Durată
Email,E-mail
Email Alerts ?,Alerte prin e-mail?
Email History,Istoricul e-mailurilor
Email History List ,Lista istoricului e-mailurilor
Email Notification,notificare prin e-mail
Email Notifications,notificări prin email
Email Status,Stare e-mail
Email Template,Șablon de e-mail
Emails Older Than Days,E-mailuri mai vechi de zile
En,En
Enable,Permite
Enable Signup,Activați înscrierea
Ends With,Se termină cu
Enterprise,Afacere
Entity Type,Tip de entitate
Environment,Mediu inconjurator
Ewallet Payment Gateway,Ewallet Payment Gateway
Expired Accounts After Days,Conturi expirate după zile
Expiry Date,Data expirarii
Export,Export
Failover  GW Name #1,Numele GW de failover # 1
Failover GW Name #2,Numele GW de failover # 2
Favicon,Favicon
Fax,Fax
Fee,Taxă
File Path,Calea fișierului
Filter,Filtru
First Name,Nume
First Used,Prima utilizare
Fixer Key,Tasta Fixer
FMAddon,FMAddon
Footer,Subsol
Fraud Detection,Detectarea fraudei
Free Minutes,Minute gratuite
FreeSwitch Servers,Servere FreeSwitch
From,Din
From Date,Din data
From Timestamp,De la Timestamp
Gateway Name,Nume gateway
Gateways,Porți
General,General
General Input Timeout,Timp de intrare general
Generate Invoice,Generați factură
Generate Pin,Generați Pin
Generates Alarm From System,Generează alarma din sistem
Generates Local Number system,Generează sistemul de număr local
Generates ticket of issues from system,Generează biletul de probleme din sistem
Generates Various Alarms From System,Generează diferite alarme din sistem
Generates Various Country Reports From System,Generează diferite rapoarte de țară din sistem
Generates various reports from system,Generează diferite rapoarte din sistem
Get Addons,Obțineți Addons
Get App,Obține aplicația
Global,Global
Grace Time,Grace Time
Grand Total,Total general
Group By,A se grupa cu
Group By #1,Grupați după numărul 1
Group By #2,Grupați după numărul 2
Group By #3,Grupați după numărul 3
Group By #Time,Grupați după # Timp
Header,Antet
Homer,Homer
Host,Gazdă
Import,Import
Import Customers,Importați clienții
Import with field map,Importați cu harta câmpului
Inbound,Intrare
Inbound Fax,Fax de intrare
Included Seconds,Secunde incluse
Increment,Creştere
Initial Balance,Balanta initiala
Initial Increment,Increment inițial
Inovices Older Than Days,Inovices Mai vechi De Zile
Install,Instalare
Installed,Instalat
Interval,Interval
Interval Type,Tipul intervalului
Invoice Configuration ,Configurarea facturii
Invoice Date,Data facturii
Invoice Due Days,Zilele scadente ale facturii
Invoice Due Notification,Notificare datorată facturii
Invoice Notification,Notificare factură
Invoice Number,Număr de factură
Invoice Prefix,Prefixul facturii
Invoice Start Form,Formular de pornire a facturii
Invoices,Facturi
IP,IP
IP Settings,Setări IP
Is Equal To,Este egal cu
Is Not Equal To,Nu este egal cu
Is Purchased?,Este achiziționat?
Iso,Iso
Iso3,Iso3
IVR Count,IVR Cont
Languages,Limbi
Last Execution Date,Data ultimei execuții
Last Modified Date,Data ultimei modificări
Last Name,Numele de familie
Last Paid Date,Data ultimei plăți
Latest Orders,Ultimele comenzi
LC Charge / Min,Încărcare LC / min
LC Charge/Min,Încărcare LC / min
Live,Trăi
Live Call Report,Raport apel live
Live Id,Id live
Live Key,Cheie live
Live Url,Live Url
Local Call Timeout,Expirare apel local
Local Number,Numar local
Local Numbers,Numere locale
Locale code,Cod local
Localization,Localizare
Localization Type,Tipul de localizare
Localizations,Localizări
Log out,Deconectează-te
Log Path,Calea jurnalului
Logo,Siglă
Low balance Alert?,Alertă cu sold scăzut?
Mail Log,Jurnal de e-mail
Manually,Manual
Markup,Markup
Mass Create,Crearea în masă
Mass Email,E-mail de masă
Max Free Length,Lungime maximă liberă
MCD,MCD
Minimum Fund Transfer,Transfer minim de fond
Minutes,Minute
Minutes Announcement,Anunț proces-verbal
Minutes Breakdown,Defalcarea procesului verbal
Moderate,Moderat
Modified Date,Data modificata
Module,Modul
Name,Nume
New Accounts,Conturi noi
Nexmo API Key,Cheia API Nexmo
Nexmo Secret Key,Cheia secretă Nexmo
Next Execution Date,Data următoare de execuție
Nickname,Poreclă
No,Nu
No Records Found,Nu au fost găsite
Notes,Note
Notifications,Notificări
Notify before due days,Notificați înainte de zilele scadente
Number,Număr
Number Type,Tipul numărului
 of , de 
Opensips,Deschide
Opensips DB Engine,Deschide motorul DB
Opensips DB Host,Deschide gazdă DB
Opensips DB Name,Deschide numele DB
Opensips DB Pass,Deschide DB Pass
Opensips DB User,Deschide Utilizator DB
Opensips Domain,Deschide domeniul
Opensource,Sursa deschisa
Order,Ordin
Order Amount,Cantitatea comenzii
Order Date,Data comandă
Order ID,Comanda ID
Order Now,Comanda acum
Orders,Comenzi
Org. Cost,Org. Cost
Org. Destination,Org. Destinaţie
Org. Pefix,Org. Pefix
Origination Rates,Ratele de inițiere
Outbound Fax,Fax de ieșire
Outstanding Amount INR,Suma remarcabilă INR
Page ,Pagină 
Password,Parola
Password Strength,Puterea parolei
Payment Method,Modalitate de plată
Payment Methods,Metode de plata
Payment Status,Starea plății
Paypal,Paypal
Per Minute Cost,Cost pe minut
Phone,Telefon
Pin Input Timeout,Timp de intrare pin
Pin Length,Lungimea pinului
Pin retries,Pinul reîncearcă
Pinless Authentication,Autentificare fără pin
Place Order ,Plasați comanda
Playback Audio Notifications,Redare notificări audio
Port,Port
Portal personalization,Personalizare portal
Powered by ASTPP,Alimentat de ASTPP
Prefix,Prefix
Prepend,Prepend
Preserve,Păstrați
Price,Preț
Priority,Prioritate
Product Category,Categorie produs
Product Details,Detalii produs
Product Name,numele produsului
Products,Produse
Profile Action,Acțiune profil
Profit,Profit
Provider,Furnizor
Provider CDRs Report ,Raportul furnizorului de CDR-uri
Provider Outbound,Furnizor de ieșire
Provider Outbound Report,Raportul de ieșire al furnizorului
Provider Summary Report ,Raport rezumat al furnizorului
Province,Provincie
Province/State,Provincie / Stat
Proxy,Proxy
Purge,Purjare
Push Notifications,Notificări
Quantity,Cantitate
Rate,Rată
Rate Announcement,Anunț de tarif
Rate Count,Numărul de rate
Rate Group,Evaluează grupul
Rate Groups,Evaluează grupurile
Rate Information,Informații despre tarif
Ratedeck,Ratedeck
Ratedeck Information,Informații Ratedeck
Rates Count,Tarifele se numără
Realtime Billing,Facturare în timp real
Receiver Email,E-mail receptor
Recording Files Older Than Days,Înregistrarea fișierelor mai vechi de zile
 Records, Înregistrări
Referer Page,Pagina de referință
Refill By,Reumple By
Refill Coupon Length,Reumpleți lungimea cuponului
Refill Coupons,Reumpleți cupoanele
Refill Report,Raport de reumplere
Refills,Reumpleri
Register,Inregistreaza-te
Release if no balance,Eliberați dacă nu există sold
Report a Bug,Raporteaza o eroare
Reports,Rapoarte
Request URI,Solicitați URI
Reseller,Reseller
Reseller can resell,Revânzătorul poate revinde
Reseller Summary,Rezumatul distribuitorului
Reseller Summary Report ,Raport rezumat al revânzătorului
Resellers,Revânzători
Resellers CDRs Report ,Raport CDR-uri pentru revânzători
Resend Mail,Retrimiteți e-mailul
Role,Rol
Roles & Permission,Roluri și permisiuni
Roles & Permissions,Roluri și permisiuni
Routing Prefix,Prefix de rutare
Routing Type,Tip de rutare
Sandbox,Sandbox
Sandbox Id,Cod Sandbox
Sandbox Key,Cheie Sandbox
Sandbox Name,Nume Sandbox
Sandbox Url,Sandbox Url
Save,Salvați
Schedule Reports,Programează rapoarte
Search,Căutare
Select File,Selectați Fișier
Select Year,Selectați Anul
Services,Servicii
Set Maximum Add card limit,Setați limita maximă Adăugați card
Settings,Setări
Setup Fee,Taxa de instalare
Signup,Inscrie-te
SIP Devices,Dispozitive SIP
SIP IP,IP SIP
SIP Port,Port SIP
SIP Profile,Profil SIP
SIP Profiles,Profiluri SIP
SMS,mesaj
SMS Body,Corpul SMS
SMS Notifications,Notificări prin SMS
SMS Status,Stare SMS
SMTP,SMTP
SMTP Host,Gazdă SMTP
SMTP Pass,SMTP Pass
SMTP Port,Port SMTP
SMTP User,Utilizator SMTP
Start prefix,Începeți prefixul
Starting Digit,Cifra de pornire
Status,stare
Strip,Bandă
Strong,Puternic
Subject,Subiect
Subscription,Abonament
Supportticket,Suport bilet
Switch,Intrerupator
Tariff,Tarifar
Tax,Impozit
Tax Information,Informații fiscale
Telephone,Telefon
Telephone as account number,Telefon ca număr de cont
Templates,Șabloane
Term. Cost,Termen. Cost
Term. Destination,Termen. Destinaţie
Term. Prefix,Termen. Prefix
Term. Trunk,Termen. Trompă
Termination Rates,Tarife de reziliere
Third Party,Terț
This Month,Luna aceasta
This Week,Săptămâna aceasta
Timelimit Announcement,Anunț Timelimit
Timestamp,Timestamp-ul
Timezone,Fus orar
To,La
To Number,To Number
To Timestamp,La Timestamp
Today,Astăzi
Top 10 Accounts,Top 10 conturi
Top 10 Destinations,Top 10 destinații
Total Calls ,Total apeluri
Total Charges,Taxe totale
Total Minutes,Minute totale
Transaction ID,ID-ul de tranzacție
Translations,Traduceri
Translations Language,Limba traducerilor
Trunk,Trompă
Trunks,Trunchiuri
Type,Tip
Unpaid,Neplătit
Update,Actualizați
Used,Folosit
Used Date,Data folosită
Username,Nume de utilizator
Version,Versiune
Version 4.0 Beta,Versiunea 4.0 Beta
View All,A vedea tot
Voicemail,Mesageria vocală
Panel Access,Acces la panou
Profile,Profil
Billing Settings,Setări de facturare
Pin,Pin
Account Settings,Setările contului
Notification Email,E-mail de notificare
Address,Abordare
NON-CLI Rate Group,Grup de rată NON-CLI
Billing Schedule,Program de facturare
Billing Day,Ziua facturării
Tax Number,Cod fiscal
Invoice Note,Notă despre factură
Reference,Referinţă
Cancel,Anulare
Device Information,Informatie despre dispozitiv
Voicemail Options,Opțiuni pentru mesageria vocală
Mail To,Trimiteți un e-mail către
Attach File,Ataseaza fisier
Local After Email,Local după e-mail
Send all Message,Trimiteți tot mesajul
Close,Închide
IP map,Harta IP
Identificador de llamadas,Identificador de llamadas
Add Caller ID,Adăugați ID-ul apelantului
Create Reseller,Creați distribuitor
Role Name,Nume rol
Outstanding Amount,Suma restanta
To Date,La zi
Before Balance,Înainte de echilibru
Commission Report,Raportul Comisiei
MonthlyFee,Taxă lunară
Grace Time (Sec.),Grace Time (Sec.)
Import DIDs,Importați DID-uri
File must be in the following format,Fișierul trebuie să fie în următorul format
DID Import Process,Procesul de import DID
Get Sample file,Obțineți fișierul eșantion
Check Header,Verificați antetul
Select the file,Selectați fișierul
Account Count,Număr de cont
Acc. Number Length,Acc. Lungimea numărului
Valid Days,Zile valabile
Create Access Number,Creați un număr de acces
Information,informație
Import Access Numbers,Importați numerele de acces
Access Numbers Import Process,Procesul de import al numerelor de acces
DIDs Bulk Assign,Alocați în bloc DID-uri
Bulk DID Purchase,Achiziție în vrac DID
Provience,Proviență
Assign Number,Atribuiți numărul
DID Destination,Destinație DID
DID Forward,DID înainte
Always,Mereu
If Busy,Dacă este ocupat
If SIP Not Registered,Dacă SIP nu este înregistrat
If No Answer,Dacă nu există răspuns
New Rate Group Name,Nume grup nou de tarif
Duplicate Rate Group Information,Informații despre grupul de rate duplicat
Import Origination Rates,Ratele de inițiere a importului
Force Trunk,Trunchiul de forță
Please select atleast one record to dele,Vă rugăm să selectați cel puțin o înregistrare pentru a dele
Import Ratedeck,Import Ratedeck
Optional Information,informatii optionale
From- Domain,Din- Domeniu
From User,De la Utilizator
Extension,Extensie
Extension-In-Contact,Extensie-în-contact
Ping,Ping
Contact Params,Contactați Params
Retry-Seconds,Reîncercați-secunde
Register-Proxy,Înregistrare-proxy
Channel,Canal
Failover GW Name,Nume GW de trecere la basculare
Create Trunk,Creați portbagaj
Import Termination Rates,Ratele de încetare a importului
Call Timeout (Sec.),Expirare apel (sec.)
Trunk List,Lista portbagajului
Reset,Resetați
Create SIP Profile,Creați un profil SIP
Create Freeswitch Server,Creați server Freeswitch
Live Calls,Apeluri live
Term Cost,Cost pe termen
Term Destination,Destinația termenului
Term Prefix,Prefixul termenului
Localizaciones,Localizaciones
Create Localization,Creați localizare
Origination,Originară
Termination,Rezilierea
Inbound Callerid Translation,Traducere Callerid Inbound
Destination Number Translation,Traducerea numărului de destinație
Outbound Callerid Translation,Traducere Callerid de ieșire
Create Call Barring,Creați blocarea apelurilor
Callbarring Settings,Setări Callbarring
Product Summary Report,Raport sumar produs
SIP User,Utilizator SIP
Product,Produs
Taxes,Impozite
Update Currencies,Actualizați valute
File Name,Nume de fișier
Database Information,Informații despre baza de date
Database Backup,Copie de rezervă a bazei de date
Command,Comanda
Cron Settings,Setări Cron
Create Cron Settings,Creați setări Cron
Stripe,Dunga
Live Secret key,Cheia Live Secret
Live Publishable key,Cheie Live Publishable
Set Percentage Charges,Setați taxele procentuale
Set Fix Charges,Setați taxe fixe
Stripe Mode,Stripe Mode
Sandbox secret key,Cheie secretă Sandbox
Sandbox publishable key,Cheie publicabilă Sandbox
Version 4.0 Enterprise,Versiunea 4.0 Enterprise
Powered by,Cu sprijinul
Import Customer Using Field Mapper,Importați client utilizând Field Mapper
You must either select a field from your,Trebuie fie să selectați un câmp din
Records with duplicate account number an,Înregistrează un număr de cont duplicat an
Account Import Error,Eroare la importarea contului
Back to Customer List,Înapoi la lista de clienți
Duplicate accounts with account number /,Conturi duplicate cu numărul de cont /
Records imported successfully,Înregistrări importate cu succes
Records not imported,Înregistrări neimportate
Error In CSV File,Eroare în fișierul CSV
Invoice Summary,Rezumatul facturii
Customer Details,Detalii Client
Invoice Details,Detaliile facturii
Account Number,Numar de cont
Invoice Amount,Valoarea facturii
Invoice Item,Element factură
Sub Total,Subtotal
Total Due,Total datorat
Note,Notă
Add Setting,Adăugați setare
Edit SIP Profile,Editați profilul SIP
New,Nou
Used?,Folosit?
View Email,Vizualizați adresa de e-mail
Active,Activ
Inactive,Inactiv
Black List,Lista neagră
White List,Lista Albă
Freeswitch Server Information,Informații despre serverul Freeswitch
Currencies,Valute
Edit Currency,Editați moneda
Is Distributor,Este Distribuitor
Package created successfully!,Pachetul a fost creat cu succes!
DID Removed Successfully.,A fost eliminat cu succes.
DID not found.,NU am găsit.
Password changed Sucessfully....!!!,Parola s-a schimbat cu succes .... !!!
New Password & Conformpassword not match,Parola nouă și parola de conformitate nu se potrivesc
Invalid old passwword.,Passwword vechi nevalid.
Permission Denied!,Acces refuzat!
Refill Coupon amount is added successful,Reumpleți valoarea cuponului cu succes
PLease upload maximum file,Vă rugăm să încărcați fișierul maxim
files added successfully!,fișiere adăugate cu succes!
File Uploading Fail Please Try Again,Eroare la încărcarea fișierelor Vă rugăm să încercați din nou
Please upload only image!,Vă rugăm să încărcați doar imagini!
Invoice config updated successfully!,Configurarea facturii a fost actualizată cu succes!
Your Profile Updated Successfully!,Profilul dvs. a fost actualizat cu succes!
Something wrong.Please contact to admini,Ceva în neregulă. Vă rugăm să contactați administratorul
DID Released Successfully!,S-a lansat cu succes!
IP already exist in system.,IP există deja în sistem.
IP Added Sucessfully.,IP adăugat cu succes.
IP Removed Sucessfully.,IP eliminat cu succes.
SIP Device Updated Successfully!,Dispozitivul SIP a fost actualizat cu succes!
SIP Device Added Successfully!,Dispozitiv SIP adăugat cu succes!
SIP Device Removed Sucessfully!,Dispozitivul SIP a fost eliminat cu succes!
Caller ID Added Sucessfully!,ID apelant adăugat cu succes!
Please Enter Caller ID value.,Vă rugăm să introduceți valoarea ID-ului apelantului.
Caller ID already Exists.,ID-ul apelantului există deja.
Caller ID removed sucessfully!,ID-ul apelantului a fost eliminat cu succes!
Alert Threshold Updated Successfully!,Pragul de alertă a fost actualizat cu succes!
Can not trnasfer fund to postpaid custom,Nu se poate transfera fondul personalizat postplătit
Access Denied! unable transfer fund to t,Acces interzis! fond de transfer incapabil către t
You can not transfer fund in same accoun,Nu puteți transfera fond în același cont
You can only transfer fund in same level,Puteți transfera fonduri numai la același nivel
Please enter To account number.,Vă rugăm să introduceți numărul de cont.
Please enter valid amount.,Vă rugăm să introduceți o sumă validă.
You have insufficient balance.,Aveți un echilibru insuficient.
Please enter valid account number.,Vă rugăm să introduceți un număr de cont valid.
Please enter amount greater then 0.,Vă rugăm să introduceți o sumă mai mare decât 0.
You need to enter minimum for fund trans,Trebuie să introduceți minimum pentru transferul de fonduri
Please enter valid account number!,Vă rugăm să introduceți un număr de cont valid!
Insuffiecient amount !,Suma insuficientă!
Transfer successfully!,Transfer cu succes!
Account number not found.,Numărul contului nu a fost găsit.
OpenSips updated successfully!,OpenSips a fost actualizat cu succes!
Duplicate Username Found.Username Must b,Numele de utilizator duplicat a fost găsit. Numele de utilizator trebuie să fie b
User name is required field.,Nume utilizator este câmp obligatoriu.
Opensips Device Removed Successfully!.,Dispozitivul de deschidere a fost eliminat cu succes !.
Speed-dial Number Added Successfully!,Număr de apelare rapidă adăugat cu succes!
Can not delete blank speeddial number,Nu se poate șterge numărul de marcare rapidă necompletat
Speed-dial Number Removed Successfully!,Numărul de apelare rapidă a fost eliminat cu succes!
Pin Updated Successfully!,Pinul a fost actualizat cu succes!
DID Updated Successfully!,S-a actualizat cu succes!
for fund transfer.,pentru transferul de fonduri.
You need to enter minimum,Trebuie să introduceți minimum
please enter recharge value,vă rugăm să introduceți valoarea de reîncărcare
New Password,Parolă Nouă
Old Password,Parola veche
Conform Password,Confirmați parola
Letters only please,"Numai scrisori, vă rog"
IP Mapping,Mapare IP
The Coupon Number field must contain onl,Câmpul Număr cupon trebuie să conțină onl
The Coupon Number field have inactive re,Câmpul Număr cupon are re inactiv
This Coupon Number is already in use.,Acest număr de cupon este deja utilizat.
This Coupon Number is not found.,Acest număr de cupon nu este găsit.
The Coupon Number field is required.,Câmpul Număr cupon este obligatoriu.
REFILL COUPON RECHARGE,REUMPLAȚI RECĂRCAREA CUPONULUI
You just recharged,Tocmai ai reîncărcat
account with The new balance will be,cont cu Noul sold va fi
My Profile,Profilul meu
My Account,Contul meu
Alert Threshold,Prag de alertă
The Caller ID field is required.,Câmpul ID apelant este obligatoriu.
Change Password,Schimbați parola
Bill Type,Tipul facturii
Bill Days,Bill Days
New Products,Produse noi
Active Products,Produse active
Outstanding,Remarcabil
Today's Calls,Apelurile de astăzi
Recent Calls,Apeluri recente
The Available DIDs field is required.,Câmpul DID-uri disponibile este obligatoriu.
Please enter your password,Va rugam sa introduceti parola
Please enter your first name,Vă rugăm să introduceți prenumele
Please enter your email,te rog introdu e-mailul tău
Please enter valid email,Vă rugăm să introduceți un e-mail valid
This field is required.,Acest câmp este obligatoriu.
Email Setting,Setare e-mail
SMTP Password,Parolă SMTP
Are you sure want to remove logo?,Sigur doriți să eliminați sigla?
The IP field must contain a unique value,Câmpul IP trebuie să conțină o valoare unică
The IP field have not valid IP.,Câmpul IP nu are un IP valid.
The IP field is required.,Câmpul IP este obligatoriu.
The Name field is required.,Câmpul Nume este obligatoriu.
Please enter only alpha-numeric value,Vă rugăm să introduceți numai valoare alfanumerică
Are you sure want to delete speed dial r,Sigur doriți să ștergeți apelarea rapidă r
Generated Date,Data generării
My Products,Produsele mele
Pinless CLI,CLI fără pin
Refill Coupon,Reumpleți cuponul
TopUp,Umple
Pay with Paypal,Plătiți cu PayPal
Pay with Card,Plătiți cu cardul
Assign,Atribui
Send Credit,Trimiteți credit
To Account,Pentru a contabiliza
From Account,Din cont
Transfer,Transfer
Telephone 1,Telefon 1
Telephone 2,Telefon 2
Address 2,Adresa 2
Zip/Postal Code,Zip / Cod Poștal
User Profile,Profil utilizator
Low Balance Alert Level,Nivel de alertă echilibru scăzut
Enable Email Alerts ?,Activați alertele prin e-mail?
Low Balance Alert Email,E-mail de alertă cu sold redus
User name,Nume de utilizator
Something went to wrong !,Ceva a mers prost!
Product Purchased successfully !,Produs achiziționat cu succes!
Insufficent Balance to purchase product ,Sold insuficient pentru cumpărarea produsului
Product assigned successfully!,Produsul a fost atribuit cu succes!
Something went wrong !,Ceva n-a mers bine !
Product Not Found,Produsul nu a fost găsit
Transaction has been failed,Tranzacția a eșuat
not inserted. Transaction has been faile,neinserată. Tranzacția a fost greșită
Select Customer.,Selectați Client.
Product Information,Informații despre produs
Price+SetUp Fee,Preț + Taxă SetUp
Use Voucher,Folosiți voucher
Amount Without Tax,Suma fără impozitare
Total Tax,Impozit total
Amount With Tax,Suma cu impozit
Parent Products,Produse părinte
Edit Product,Editați produsul
Product updated successfully!,Produsul a fost actualizat cu succes!
Product added successfully!,Produsul a fost adăugat cu succes!
Product removed successfully!,Produsul a fost eliminat cu succes!
Product optin successfully!,Optarea produsului cu succes!
Edit Info,Editați informațiile
Product assign successfully,Alocarea produsului cu succes
Insufficient balance to assign product!,Sold insuficient pentru a aloca produsul!
Terminated Updated Successfully!,Încheiat Actualizat cu succes!
Terminated,Încetat
Setup Cost,Cost de instalare
Order New,Comandă nouă
Caller ID updated successfully!,ID-ul apelantului a fost actualizat cu succes!
Caller ID added successfully!,ID-ul apelantului a fost adăugat cu succes!
Caller ID removed successfully!,ID-ul apelantului a fost eliminat cu succes!
Name is not contain any space,Numele nu conține niciun spațiu
Name already exist in system.,Numele există deja în sistem.
Callbarring Settings Updated Successfull,Setările Callbarring au fost actualizate cu succes
allbarring Settings Added Successfully!,Setări allbarring adăugate cu succes!
Call Barring Removed Successfully!,Blocarea apelurilor a fost eliminată cu succes!
Calltype already exist in system.,Tipul de apel există deja în sistem.
Calltype Updated Successfully!,Tip de apel actualizat cu succes!
Calltype Added Successfully!,Tip de apel adăugat cu succes!
calltype removed successfully!,tip de apel eliminat cu succes!
File must be in the following format(.cs,Fișierul trebuie să fie în următorul format (.cs
Import Package Codes:,Importați codurile pachetului:
Records Imported Successfully:,Înregistrări importate cu succes:
Records Not Imported :,Înregistrări neimportate:
Download Errors,Descărcați erorile
Back to Package Patterns List,Înapoi la lista modelelor de pachete
Add To List,Adaugă la listă
Routing Prefix already exist in system.,Prefixul de rutare există deja în sistem.
Rate Group Updated Successfully!,Evaluează grupul actualizat cu succes!
Rate Group Added Successfully!,Evaluează grupul adăugat cu succes!
Duplicate Rate Group Added Successfully!,Grup de rate duplicat adăugat cu succes!
Routing Prefix (Enterprise),Prefix de rutare (Enterprise)
Priority (Enterprise),Prioritate (întreprindere)
Percentage (WIP) (Enterprise),Procent (WIP) (Enterprise)
LCR,LCR
Percentage,Procent
Tax removed successfully!,Taxa eliminată cu succes!
Tax added successfully!,Taxa adăugată cu succes!
Tax updated successfully!,Impozitul a fost actualizat cu succes!
Charges List,Lista tarifelor
Trunk Updated Successfully!,Trunchiul a fost actualizat cu succes!
Trunk Added Successfully!,Portbagaj adăugat cu succes!
Trunk removed successfully!,Portbagajul a fost eliminat cu succes!
setting updated successfully!,setarea actualizată cu succes!
Template Updated Successfully!,Șablonul actualizat cu succes!
Template Added Successfully!,Șablon adăugat cu succes!
Country Updated successfully!,Țara actualizată cu succes!
Country Added successfully!,Țara adăugată cu succes!
Country removed successfully!,Țara eliminată cu succes!
Currency Updated Successfully!,Moneda actualizată cu succes!
My Rates,Tarifele mele
Cost / Min,Cost / Min
Purchase,Cumpărare
Available DIDs,DID-uri disponibile
New IP,IP nou
Digits,Cifre
Email Address,Adresa de email
Call Forward,Redirectionare apel
If Busy:,Dacă este ocupat:
If SIP Not Registered:,Dacă SIP nu este înregistrat:
