English,Spanish
Dial Input Timeout,Tiempo de espera de entrada de marcación
DID,HIZO
DIDs,DID
Direction,Dirección
Disable,Inhabilitar
Display records in,Mostrar registros en
Disposition,Disposición
Documentation,Documentación
Doesnt Contain,No contiene
Domain,Dominio
Draft,Sequía
Due Date,Fecha de vencimiento
Duplicate,Duplicar
Duration,Duración
Email,Correo electrónico
Email Alerts ?,Alertas de correo electrónico ?
Email History,Historial de correo electrónico
Email History List,Lista de historial de correo electrónico
Email Notification,Notificación de correo electrónico
Email Notifications,Notificaciónes de Correo Electrónico
Email Status,Estado del correo electrónico
Email Template,Plantilla de correo electrónico
Emails Older Than Days,Correos electrónicos anteriores a los días
En,En
Enable,Habilitar
Enable Signup,Habilitar registro
Ends With,Termina con
Enterprise,Empresa
Entity Type,Tipo de entidad
Environment,Medio ambiente
Ewallet Payment Gateway,Pasarela de pago de ewallet
Expired Accounts After Days,Cuentas vencidas después de días
Expiry Date,Fecha de caducidad
Export,Exportar
Failover GW Name #1,Nombre de GW de conmutación por error n. ° 1
Failover GW Name #2,Nombre de GW de conmutación por error n. ° 2
Favicon,Favicon
Fax,Fax
Fee,Cuota
File Path,Ruta de archivo
Filter,Filtrar
First Name,Primer nombre
First Used,Primer uso
Fixer Key,Llave del reparador
FMAddon,FMAddon
Footer,Pie de página
Fraud Detection,Detección de fraudes
Free Minutes,Minutos libres
FreeSwitch Servers,Servidores FreeSwitch
From,Desde
From Date,Partir de la fecha
From Timestamp,Desde marca de tiempo
Gateway Name,Nombre de la puerta de enlace
Gateways,Pasarelas
General,General
General Input Timeout,Tiempo de espera de entrada general
Generate Invoice,Generar factura
Generate Pin,Generar Pin
Generates Alarm From System,Genera alarma desde el sistema
Generates Local Number system,Genera sistema de números locales
Generates ticket of issues from system,Genera ticket de problemas del sistema
Generates Various Alarms From System,Genera varias alarmas del sistema
Generates Various Country Reports From S,Genera varios informes de países a partir de S
Generates various reports from system,Genera varios informes del sistema
Get Addons,Obtener complementos
Get App,Obtener aplicaciones
Global,Global
Grace Time,Tiempo de gracia
Grand Total,Gran total
Group By,Agrupar por
Group By #1,Agrupar por # 1
Group By #2,Agrupar por # 2
Group By #3,Agrupar por # 3
Group By #Time,Agrupar por #Tiempo
Header,Encabezamiento
Homer,Homero
Host,Anfitrión
Import,Importar
Import Customers,Importar clientes
Import with field map,Importar con mapa de campo
Inbound,Entrante
Inbound Fax,Fax entrante
Included Seconds,Segundos incluidos
Increment,Incremento
Initial Balance,Saldo inicial
Initial Increment,Incremento inicial
Inovices Older Than Days,Inovices anteriores a los días
Install,Instalar en pc
Installed,Instalado
Interval,Intervalo
Interval Type,Tipo de intervalo
Invoice Configuration,Configuración de facturas
Invoice Date,Fecha de la factura
Invoice Due Days,Días de vencimiento de la factura
Invoice Due Notification,Notificación de vencimiento de la factura
Invoice Notification,Notificación de factura
Invoice Number,Número de factura
Invoice Prefix,Prefijo de factura
Invoice Start Form,Formulario de inicio de factura
Invoices,Facturas
IP,IP
IP Settings,Configuración de IP
Is Equal To,Es igual a
Is Not Equal To,No es igual a
Is Purchased?,¿Se compra?
Iso,Yo asi
Iso3,Iso3
IVR Count,Recuento de IVR
Languages,Idiomas
Last Execution Date,Última fecha de ejecución
Last Modified Date,Fecha de última modificación
Last Name,Apellido
Last Paid Date,Última fecha de pago
Latest Orders,Últimos pedidos
LC Charge / Min,Carga LC / Min
LC Charge/Min,Carga LC / Min
Live,En Vivo
Live Call Report,Informe de llamada en vivo
Live Id,Identificación en vivo
Live Key,Live Key
Live Url,URL en vivo
Local Call Timeout,Tiempo de espera de llamada local
Local Number,Número local
Local Numbers,Números locales
Locale code,Código de configuración regional
Localization,Localización
Localization Type,Tipo de localización
Localizations,Localizaciones
Log out,Cerrar sesión
Log Path,Ruta de registro
Logo,Logo
Low balance Alert?,Alerta de saldo bajo?
Mail Log,Registro electrónico
Manually,A mano
Markup,Margen
Mass Create,Crear en masa
Mass Email,Correo electrónico masivo
Max Free Length,Longitud libre máxima
MCD,MCD
Minimum Fund Transfer,Transferencia mínima de fondos
Minutes,Minutos
Minutes Announcement,Anuncio de actas
Minutes Breakdown,Desglose de minutos
Moderate,Moderar
Modified Date,Fecha de modificación
Module,Módulo
Name,Nombre
New Accounts,Nuevas cuentas
Nexmo API Key,Clave de API de Nexmo
Nexmo Secret Key,Llave secreta de Nexmo
Next Execution Date,Próxima fecha de ejecución
Nickname,Apodo
No,No
No Records Found,No se encontraron registros
Notes,Notas
Notifications,Notificaciones
Notify before due days,Notificar antes de los días de vencimiento
Number,Número
Number Type,Tipo de número
 of , de 
Opensips,Opensips
Opensips DB Engine,Opensips DB Engine
Opensips DB Host,Host de base de datos de OpenSips
Opensips DB Name,Nombre de base de datos de OpenSips
Opensips DB Pass,Pase DB de Opensips
Opensips DB User,Opensips DB Usuario
Opensips Domain,Dominio de OpenSips
Opensource,Fuente abierta
Order,Orden
Order Amount,Total de la orden
Order Date,Fecha de orden
Order ID,Solicitar ID
Order Now,Ordenar ahora
Orders,Pedidos
Org. Cost,Org. Costo
Org. Destination,Org. Destino
Org. Pefix,Org. Pefix
Origination Rates,Tasas de originación
Outbound Fax,Fax saliente
Outstanding Amount INR,Monto pendiente INR
Page ,Página 
Password,Contraseña
Password Strength,seguridad de la contraseña
Payment Method,Método de pago
Payment Methods,Métodos de pago
Payment Status,Estado de pago
Paypal,Paypal
Per Minute Cost,Costo por minuto
Phone,Teléfono
Pin Input Timeout,Tiempo de espera de entrada de pin
Pin Length,Longitud del pasador
Pin retries,Pin reintentos
Pinless Authentication,Autenticación sin PIN
Place Order,Realizar pedido
Playback Audio Notifications,Reproducción de notificaciones de audio
Port,Puerto
Portal personalization,Personalización del portal
Powered by ASTPP,Desarrollado por ASTPP
Prefix,Prefijo
Prepend,Anteponer
Preserve,Preservar
Price,Precio
Priority,Prioridad
Product Category,categoria de producto
Product Details,Detalles de producto
Product Name,nombre del producto
Products,Productos
Profile Action,Acción de perfil
Profit,Lucro
Provider,Proveedor
Provider CDRs Report,Informe de CDR del proveedor
Provider Outbound,Proveedor saliente
Provider Outbound Report,Informe saliente del proveedor
Provider Summary Report,Informe de resumen del proveedor
Province,Provincia
Province/State,Provincia / Estado
Proxy,Apoderado
Purge,Purga
Push Notifications,Notificaciones push
Quantity,Cantidad
Rate,Velocidad
Rate Announcement,Anuncio de tarifa
Rate Count,Tasa de recuento
Rate Group,Grupo de tarifas
Rate Groups,Grupos de tarifas
Rate Information,Información de tarifas
Ratedeck,Ratedeck
Ratedeck Information,Información Ratedeck
Rates Count,Recuento de tarifas
Realtime Billing,Facturación en tiempo real
Receiver Email,Correo electrónico del destinatario
Recording Files Older Than Days,Grabación de archivos anteriores a varios días
 Records, Registros
Referer Page,Página de referencia
Refill By,Rellenar por
Refill Coupon Length,Longitud del cupón de recarga
Refill Coupons,Cupones de recarga
Refill Report,Informe de recarga
Refills,Recargas
Register,Registrarse
Release if no balance,Liberar si no hay saldo
Report a Bug,Reportar un error
Reports,Informes
Request URI,Solicitar URI
Reseller,Revendedores
Reseller can resell,El revendedor puede revender
Reseller Summary,Resumen de revendedor
Reseller Summary Report,Informe de resumen del distribuidor
Resellers,Revendedores
Resellers CDRs Report,Informe de CDR de revendedores
Resend Mail,Reenviar correo
Role,Papel
Roles & Permission,Roles y permisos
Roles & Permissions,Roles y permisos
Routing Prefix,Prefijo de enrutamiento
Routing Type,Tipo de ruta
Sandbox,Salvadera
Sandbox Id,ID de zona de pruebas
Sandbox Key,Clave de la caja de arena
Sandbox Name,Nombre de la zona de pruebas
Sandbox Url,URL de la zona de pruebas
Save,Salvar
Schedule Reports,Programar informes
Search,Buscar
Select File,Seleccione Archivo
Select Year,Seleccionar año
Services,Servicios
Set Maximum Add card limit,Establecer límite máximo para agregar tarjetas
Settings,Configuraciones
Setup Fee,Tarifa de instalación
Signup,Regístrate
SIP Devices,Dispositivos SIP
SIP IP,IP SIP
SIP Port,Puerto SIP
SIP Profile,Perfil SIP
SIP Profiles,Perfiles SIP
SMS,SMS
SMS Body,Cuerpo de SMS
SMS Notifications,Notificaciones por SMS
SMS Status,Estado de SMS
SMTP,SMTP
SMTP Host,Host SMTP
SMTP Pass,Pase SMTP
SMTP Port,Puerto SMTP
SMTP User,Usuario SMTP
Start prefix,Prefijo de inicio
Starting Digit,Dígito inicial
Status,Estado
Strip,Tira
Strong,Fuerte
Subject,Tema
Subscription,Suscripción
Supportticket,Boleto de soporte
Switch,Cambiar
Tariff,Arancel
Tax,Impuesto
Tax Information,Información sobre los impuestos
Telephone,Teléfono
Telephone as account number,Teléfono como número de cuenta
Templates,Plantillas
Term. Cost,Término. Costo
Term. Destination,Término. Destino
Term. Prefix,Término. Prefijo
Term. Trunk,Término. Maletero
Termination Rates,Tarifas de terminación
Third Party,Tercero
This Month,Este mes
This Week,Esta semana
Timelimit Announcement,Anuncio de límite de tiempo
Timestamp,Marca de tiempo
Timezone,Zona horaria
To,A
To Number,Al numero
To Timestamp,A la marca de tiempo
Today,Hoy
Top 10 Accounts,10 cuentas principales
Top 10 Destinations,10 destinos principales
Total Calls,Total de llamadas
Total Charges,Cargos totales
Total Minutes,Minutos totales
Transaction ID,ID de transacción
Translations,Traducciones
Translations Language,Traducciones Idioma
Trunk,Maletero
Trunks,Bañador
Type,Tipo
Unpaid,No pagado
Update,Actualizar
Used,Usado
Used Date,Fecha de uso
Username,Nombre de usuario
Version,Versión
Version 4.0 Beta,Versión 4.0 Beta
View All,Ver todo
View Details,Ver detalles
Voicemail,Mensaje de voz
Voicemail Number,Número del Correo de voz
Website,Sitio web
Welcome File,Archivo de bienvenida
Yes,si
Zip Code,Código postal
Panel Access,Acceso al panel
Profile,Perfil
Billing Settings,Configuración de facturación
Pin,Alfiler
Account Settings,Configuraciones de la cuenta
Notification Email,Correo electrónico de notificación
Address,Habla a
NON-CLI Rate Group,Grupo de tarifas NO CLI
Billing Schedule,Programa de facturación
Billing Day,Día de facturación
Tax Number,Número de impuesto
Invoice Note,Nota de factura
Reference,Referencia
Cancel,Cancelar
Device Information,Información del dispositivo
Voicemail Options,Opciones de correo de voz
Mail To,Enviar a
Attach File,Adjuntar archivo
Local After Email,Local después del correo electrónico
Send all Message,Enviar todos los mensajes
Close,Cerca
IP map,Mapa de IP
Identificador de llamadas,Identificador de llamadas
Add Caller ID,Agregar identificador de llamadas
Create Reseller,Crear revendedor
Role Name,Nombre de rol
Outstanding Amount,Monto pendiente
To Date,Hasta la fecha
Before Balance,Antes del equilibrio
Commission Report,Informe de la Comisión
MonthlyFee,Cuota mensual
Grace Time (Sec.),Tiempo de gracia (seg.)
Import DIDs,Importar DID
File must be in the following format,El archivo debe tener el siguiente formato
DID Import Process,Proceso de importación DID
Get Sample file,Obtener archivo de muestra
Check Header,Comprobar encabezado
Select the file,Seleccione el archivo
Account Count,Cuenta cuenta
Acc. Number Length,Acc. Longitud del número
Valid Days,Días válidos
Create Access Number,Crear número de acceso
Information,Información
Import Access Numbers,Importar números de acceso
Access Numbers Import Process,Proceso de importación de números de acceso
DIDs Bulk Assign,Asignación masiva de DID
Bulk DID Purchase,Compra masiva DID
Provience,Provience
Assign Number,Asignar número
DID Destination,DID Destino
DID Forward,HIZO reenviar
Always,Siempre
If Busy,Si está ocupado
If SIP Not Registered,Si SIP no está registrado
If No Answer,Si no responde
New Rate Group Name,Nombre del nuevo grupo de tarifas
Duplicate Rate Group Information,Información de grupo de tarifas duplicada
Import Origination Rates,Tasas de origen de importación
Force Trunk,Force Trunk
Please select atleast one record to dele,Seleccione al menos un registro para eliminar
Import Ratedeck,Importar tabla de tarifas
Optional Information,información opcional
From- Domain,De- Dominio
From User,Del usuario
Extension,Extensión
Extension-In-Contact,Extensión en contacto
Ping,Silbido
Contact Params,Params de contacto
Retry-Seconds,Segundos de reintento
Register-Proxy,Proxy de registro
Channel,Canal
Failover GW Name,Nombre de GW de conmutación por error
Create Trunk,Crear tronco
Import Termination Rates,Tasas de terminación de importación
Call Timeout (Sec.),Tiempo de espera de llamada (seg.)
Trunk List,Lista de troncales
Reset,Reiniciar
Create SIP Profile,Crear perfil SIP
Create Freeswitch Server,Crear servidor Freeswitch
Live Calls,Llamadas en vivo
Term Cost,Costo de plazo
Term Destination,Término Destino
Term Prefix,Prefijo de término
Localizaciones,Localizaciones
Create Localization,Crear localización
Origination,Origen
Termination,Terminación
Inbound Callerid Translation,Traducción de Callerid entrante
Destination Number Translation,Traducción del número de destino
Outbound Callerid Translation,Traducción de identificador de llamadas salientes
Create Call Barring,Crear restricción de llamadas
Callbarring Settings,Configuración de bloqueo de llamadas
Product Summary Report,Informe de resumen de producto
SIP User,Usuario SIP
Product,Producto
Taxes,Impuestos
Update Currencies,Actualizar monedas
File Name,Nombre del archivo
Database Information,Información de la base de datos
Database Backup,Copia de seguridad de la base de datos
Command,Mando
Cron Settings,Configuración de cron
Create Cron Settings,Crear configuración de cron
Stripe,Raya
Live Secret key,Clave secreta en vivo
Live Publishable key,Clave publicable en vivo
Set Percentage Charges,Establecer cargos porcentuales
Set Fix Charges,Establecer cargos fijos
Stripe Mode,Modo de rayas
Sandbox secret key,Clave secreta de Sandbox
Sandbox publishable key,Clave publicable de zona de pruebas
Version 4.0 Enterprise,Versión 4.0 Enterprise
Powered by,Energizado por
Import Customer Using Field Mapper,Importar cliente usando Field Mapper
You must either select a field from your,Debe seleccionar un campo de su
Records with duplicate account number an,Registros con número de cuenta duplicado y
Account Import Error,Error de importación de cuenta
Back to Customer List,Volver a la lista de clientes
Duplicate accounts with account number /,Cuentas duplicadas con número de cuenta /
Records imported successfully,Registros importados correctamente
Records not imported,Registros no importados
Error In CSV File,Error en archivo CSV
Invoice Summary,Resumen de la factura
Customer Details,Detalles del cliente
Invoice Details,Detalles de la factura
Account Number,Número de cuenta
Invoice Amount,Monto de la factura
Invoice Item,Artículo de la factura
Sub Total,Sub total
Total Due,Total adeudado
Note,Nota
Add Setting,Agregar configuración
Edit SIP Profile,Editar perfil SIP
New,Nuevo
Used?,¿Usado?
View Email,Ver correo electrónico
Active,Activo
Inactive,Inactivo
Black List,Lista negra
White List,Lista blanca
Freeswitch Server Information,Información del servidor Freeswitch
Currencies,Monedas
Edit Currency,Editar moneda
Is Distributor,Es distribuidor
Package created successfully!,¡Paquete creado con éxito!
DID Removed Successfully.,DID eliminado correctamente.
DID not found.,DID no encontrado.
Password changed Sucessfully....!!!,Contraseña cambiada exitosamente .... !!!
New Password & Conformpassword not match,La nueva contraseña y la contraseña de conformidad no coinciden
Invalid old passwword.,Contraseña antigua no válida.
Permission Denied!,¡Permiso denegado!
Refill Coupon amount is added successful,La cantidad del cupón de recarga se agrega correctamente
PLease upload maximum file,Por favor cargue el archivo máximo
files added successfully!,archivos agregados correctamente!
File Uploading Fail Please Try Again,"Error al cargar el archivo, inténtelo de nuevo"
Please upload only image!,¡Sube solo una imagen!
Invoice config updated successfully!,¡La configuración de la factura se actualizó correctamente!
Your Profile Updated Successfully!,¡Su perfil se actualizó correctamente!
Something wrong.Please contact to admini,"Algo va mal, por favor contacte a admini"
DID Released Successfully!,¡Se lanzó con éxito!
IP already exist in system.,La IP ya existe en el sistema.
IP Added Sucessfully.,IP agregada con éxito.
IP Removed Sucessfully.,IP eliminada con éxito.
SIP Device Updated Successfully!,¡Dispositivo SIP actualizado con éxito!
SIP Device Added Successfully!,¡Dispositivo SIP agregado exitosamente!
SIP Device Removed Sucessfully!,¡Dispositivo SIP eliminado correctamente!
Caller ID Added Sucessfully!,¡Identificador de llamadas agregado exitosamente!
Please Enter Caller ID value.,Ingrese el valor del identificador de llamadas.
Caller ID already Exists.,El identificador de llamadas ya existe.
Caller ID removed sucessfully!,¡Identificador de llamadas eliminado con éxito!
Alert Threshold Updated Successfully!,¡Umbral de alerta actualizado con éxito!
Can not trnasfer fund to postpaid custom,No se pueden transferir fondos a la costumbre de pospago
Access Denied! unable transfer fund to t,¡Acceso denegado! no se puede transferir fondos a t
You can not transfer fund in same account,No puedes transferir fondos en la misma cuenta
You can only transfer fund in same level,Solo puedes transferir fondos en el mismo nivel
Please enter To account number.,Introduzca el número de cuenta.
Please enter valid amount.,Ingrese una cantidad válida.
You have insufficient balance.,Tienes saldo insuficiente.
Please enter valid account number.,Ingrese un número de cuenta válido.
Please enter amount greater then 0.,Ingrese una cantidad mayor a 0.
You need to enter minimum for fund trans,Debes ingresar el mínimo para la transferencia de fondos
Please enter valid account number!,Introduzca un número de cuenta válido.
Insuffiecient amount !,Cantidad insuficiente!
Transfer successfully!,¡Transfiera con éxito!
Account number not found.,No se encontró el número de cuenta.
OpenSips updated successfully!,¡OpenSips actualizado con éxito!
Duplicate Username Found.Username Must b,Se encontró un nombre de usuario duplicado. El nombre de usuario debe b
User name is required field.,El nombre de usuario es un campo obligatorio.
Opensips Device Removed Successfully!.,Opensips ¡Dispositivo eliminado con éxito !.
Speed-dial Number Added Successfully!,¡El número de marcación rápida se agregó correctamente!
Can not delete blank speeddial number,No se puede eliminar el número de marcación rápida en blanco
Speed-dial Number Removed Successfully!,¡El número de marcación rápida se eliminó correctamente!
Pin Updated Successfully!,¡Pin actualizado correctamente!
DID Updated Successfully!,¡SE actualizó correctamente!
for fund transfer.,para transferencia de fondos.
You need to enter minimum,Debes ingresar mínimo
please enter recharge value,por favor ingrese el valor de recarga
New Password,Nueva contraseña
Old Password,Contraseña anterior
Conform Password,Conform la contraseña
Letters only please,Solo cartas por favor
IP Mapping,Mapeo de IP
The Coupon Number field must contain onl,El campo Número de cupón debe contener solo
The Coupon Number field have inactive re,El campo Número de cupón tiene reactivación inactiva.
This Coupon Number is already in use.,Este número de cupón ya está en uso.
This Coupon Number is not found.,No se encuentra este número de cupón.
The Coupon Number field is required.,El campo Número de cupón es obligatorio.
REFILL COUPON RECHARGE,RELLENAR CUPÓN RECARGAR
You just recharged,Acabas de recargar
account with The new balance will be,cuenta con El nuevo saldo será
My Profile,Mi perfil
My Account,Mi cuenta
Alert Threshold,Umbral de alerta
The Caller ID field is required.,El campo de identificación de llamadas es obligatorio.
Change Password,Cambia la contraseña
Bill Type,Tipo de factura
Bill Days,Bill Days
New Products,nuevos productos
Active Products,Productos activos
Outstanding,Excepcional
Today's Calls,Llamadas de hoy
Recent Calls,Llamadas recientes
The Available DIDs field is required.,El campo DID disponibles es obligatorio.
Please enter your password,"Por favor, introduzca su contraseña"
Please enter your first name,"Por favor, introduzca su nombre de pila"
Please enter your email,Por favor introduzca su correo electrónico
Please enter valid email,Por favor introduzca un correo electrónico válido
This field is required.,Este campo es requerido.
Email Setting,Configuración de correo electrónico
SMTP Password,Contraseña SMTP
Are you sure want to remove logo?,¿Seguro que desea eliminar el logotipo?
The IP field must contain a unique value,El campo de IP debe contener un valor único
The IP field have not valid IP.,El campo IP no tiene una IP válida.
The IP field is required.,El campo IP es obligatorio.
The Name field is required.,El campo Nombre es obligatorio.
Please enter only alpha-numeric value,Ingrese solo un valor alfanumérico
Are you sure want to delete speed dial r,¿Seguro que desea eliminar la marcación rápida r
Generated Date,Fecha generada
My Products,Mis productos
Pinless CLI,CLI sin clavijas
Refill Coupon,Cupón de recarga
TopUp,Recarga
Pay with Paypal,Pagar con PayPal
Pay with Card,Pagar con tarjeta
Assign,Asignar
Send Credit,Enviar crédito
To Account,A la cuenta
From Account,De la cuenta
Transfer,Transferir
Telephone 1,Teléfono 1
Telephone 2,Teléfono 2
Address 2,Dirección 2
Zip/Postal Code,Código postal
User Profile,Perfil del usuario
Low Balance Alert Level,Nivel de alerta de saldo bajo
Enable Email Alerts ?,¿Habilitar alertas por correo electrónico?
Low Balance Alert Email,Correo electrónico de alerta de saldo bajo
User name,Nombre de usuario
Something went to wrong !,¡Algo salió mal!
Product Purchased successfully !,¡Producto comprado con éxito!
Insufficent Balance to purchase product ,Saldo insuficiente para comprar el producto
Product assigned successfully!,¡Producto asignado correctamente!
Something went wrong !,Algo salió mal !
Product Not Found,Producto no encontrado
Transaction has been failed,La transacción ha fallado
not inserted. Transaction has been faile,no insertado. La transacción ha fallado
Select Customer.,Seleccione Cliente.
Product Information,Información del Producto
Price+SetUp Fee,Precio + tarifa de instalación
Use Voucher,Usar vale
Amount Without Tax,Monto sin impuestos
Total Tax,Total impuestos
Amount With Tax,Cantidad con impuestos
Parent Products,Productos parentales
Edit Product,Editar producto
Product updated successfully!,¡Producto actualizado con éxito!
Product added successfully!,Producto agregado exitosamente!
Product removed successfully!,Producto eliminado correctamente.
Product optin successfully!,¡Opción del producto con éxito!
Edit Info,Editar información
Product assign successfully,Producto asignado correctamente
Insufficient balance to assign product!,¡Saldo insuficiente para asignar producto!
Terminated Updated Successfully!,Terminado actualizado correctamente!
Terminated,Terminado
Setup Cost,Coste de instalación
Order New,Pedido nuevo
Caller ID updated successfully!,¡Identificador de llamadas actualizado correctamente!
Caller ID added successfully!,¡El identificador de llamadas se agregó correctamente!
Caller ID removed successfully!,Identificador de llamadas eliminado correctamente.
Name is not contain any space,El nombre no contiene ningún espacio
Name already exist in system.,El nombre ya existe en el sistema.
Callbarring Settings Updated Successfull,Configuración de bloqueo de llamadas actualizada correctamente
allbarring Settings Added Successfully!,¡La configuración de allbarring se agregó correctamente!
Call Barring Removed Successfully!,¡La restricción de llamadas se eliminó correctamente!
Calltype already exist in system.,El tipo de llamada ya existe en el sistema.
Calltype Updated Successfully!,¡El tipo de llamada se actualizó correctamente!
Calltype Added Successfully!,¡El tipo de llamada se agregó correctamente!
calltype removed successfully!,¡tipo de llamada eliminado con éxito!
Import Package Codes:,Importar códigos de paquete:
Records Imported Successfully:,Registros importados correctamente:
Records Not Imported :,Registros no importados:
Download Errors,Errores de descarga
Back to Package Patterns List,Volver a la lista de patrones de paquetes
Add To List,Agregar a la lista
Routing Prefix already exist in system.,El prefijo de enrutamiento ya existe en el sistema.
Rate Group Updated Successfully!,¡Valorar grupo actualizado correctamente!
Rate Group Added Successfully!,¡Califique el grupo agregado con éxito!
Duplicate Rate Group Added Successfully!,¡El grupo de tarifas duplicado se agregó correctamente!
Routing Prefix (Enterprise),Prefijo de enrutamiento (Enterprise)
Priority (Enterprise),Prioridad (empresa)
Percentage (WIP) (Enterprise),Porcentaje (WIP) (empresa)
LCR,LCR
Percentage,Porcentaje
Tax removed successfully!,¡Impuestos eliminados correctamente!
Tax added successfully!,¡Impuestos agregados con éxito!
Tax updated successfully!,¡Impuestos actualizados con éxito!
Charges List,Lista de cargos
Trunk Updated Successfully!,¡Trunk actualizado con éxito!
Trunk Added Successfully!,¡Trunk agregado exitosamente!
Trunk removed successfully!,¡Tronco eliminado con éxito!
setting updated successfully!,configuración actualizada correctamente!
Template Updated Successfully!,¡Plantilla actualizada con éxito!
Template Added Successfully!,¡Plantilla agregada con éxito!
Country Updated successfully!,País actualizado correctamente!
Country Added successfully!,¡País agregado exitosamente!
Country removed successfully!,¡País eliminado correctamente!
Currency Updated Successfully!,¡Moneda actualizada con éxito!
Rates,Tarifas
My Rates,Mis tarifas
Cost / Min,Costo / Min
Purchase,Compra
Available DIDs,DID disponibles
New IP,Nueva IP
Digits,Dígitos
Email Address,Dirección de correo electrónico
Call Forward,Desvío de llamadas
If Busy:,Si está ocupado:
