English,Italian
Calls Breakdown,Ripartizione delle chiamate
Calltype Information,Informazioni sul tipo di chiamata
Can be purchased?,Può essere acquistato?
Capital,Capitale
Capture Server,Capture Server
Card Input Timeout,Timeout ingresso scheda
Card Length,Lunghezza della carta
Card Retries,Tentativi della carta
Carriers,Vettori
Category,Categoria
CC,CC
CDRs Older Than Days,CDR più vecchi di giorni
Charge Type,Tipo di addebito
Charges Breakdown,Ripartizione delle spese
Charges History,Cronologia addebiti
CID,CID
City,Città
Clear,Chiaro
Client IP,IP client
Client User Agent,Agente utente client
Code,Codice
Codecs,Codec
Commission,Commissione
Commission Rate,Tasso di commissione
Commission Reports,Rapporti della Commissione
Company,Azienda
Company Profiles,Profili aziendali
Company Tax number,Codice fiscale della società
Completed Calls,Chiamate completate
Concurrent Calls,Chiamate simultanee
Configuration ,Configurazione
Confirmed,Confermato
Connection Cost,Costo di connessione
Contains,Contiene
Cost,Costo
Cost/Min,Costo / Min
Countries,Paesi
Country,Nazione
Country Code,Prefisso internazionale
Country List,Elenco dei paesi
Country Reports,Rapporti nazionali
Coupon Information,Informazioni sui coupon
Coupon Number,Numero coupon
CPS,CPS
Create,Creare
Create Admin,Crea amministratore
Create calltype,Crea tipo di chiamata
Create Company Profile ,Crea profilo aziendale
Create Customer,Crea cliente
Create Origination Rate,Crea velocità di origine
Create Product ,Crea prodotto
Create Provider,Crea provider
Create Rate Group,Crea gruppo di tariffe
Create Refill Coupon,Crea coupon di ricarica
Create SIP Device,Crea dispositivo SIP
Create Tax,Crea tasse
Created Date,Data di Creazione
Creation Date,Data di creazione
Credit,Credito
Credit Limit,Limite di credito
Crons,Crons
Currency,Moneta
Currency Conversion Loss Percentage,Percentuale di perdita di conversione di valuta
Currency List,Elenco delle valute
Customer,Cliente
Customer CDRs Report ,Report sui CDR dei clienti
Customer Summary,Riepilogo del cliente
Customer Summary Report ,Report riepilogo cliente
Customers,Clienti
Dashboard,Pannello di controllo
Database,Banca dati
Date,Data
Debit,Addebito
Debug,Debug
Decimal Points,Punti decimali
Default Increment ,Incremento predefinito
Default Invoice Mode,Modalità fattura predefinita
Default Tax,Imposta predefinita
Delete,Elimina
Deleted Accounts After Days,Account eliminati dopo giorni
Description,Descrizione
Destination,Destinazione
Dial Input Timeout,Dial Input Timeout
DID,DID
DIDs,DID
Direction,Direzione
Disable,disattivare
Display records in,Visualizza record in
Disposition,Disposizione
Documentation,Documentazione
Doesnt Contain,Non contiene
Domain,Dominio
Draft,Bozza
Due Date,Scadenza
Duplicate,Duplicare
Duration,Durata
Email,E-mail
Email Alerts ?,Avvisi e-mail?
Email History,Cronologia email
Email History List ,Elenco cronologia e-mail
Email Notification,notifica per email
Email Notifications,notifiche di posta elettronica
Email Status,Stato e-mail
Email Template,Modello di posta elettronica
Emails Older Than Days,Email più vecchie di giorni
En,En
Enable,Abilitare
Enable Signup,Abilita registrazione
Ends With,Finisce con
Enterprise,Enterprise
Entity Type,Tipo di entità
Environment,Ambiente
Ewallet Payment Gateway,Gateway di pagamento Ewallet
Expired Accounts After Days,Account scaduti dopo giorni
Expiry Date,Data di scadenza
Export,Esportare
Failover  GW Name #1,Nome GW di failover n. 1
Failover GW Name #2,Nome GW di failover n. 2
Favicon,Favicon
Fax,Fax
Fee,Tassa
File Path,Percorso del file
Filter,Filtro
First Name,Nome di battesimo
First Used,Primo utilizzo
Fixer Key,Chiave del riparatore
FMAddon,FMAddon
Footer,Piè di pagina
Fraud Detection,Intercettazione di una frode
Free Minutes,Minuti gratuiti
FreeSwitch Servers,Server FreeSwitch
From,A partire dal
From Date,Dalla data
From Timestamp,Da Timestamp
Gateway Name,Nome gateway
Gateways,Gateway
General,Generale
General Input Timeout,Timeout input generale
Generate Invoice,Genera fattura
Generate Pin,Genera Pin
Generates Alarm From System,Genera allarme dal sistema
Generates Local Number system,Genera un sistema di numeri locali
Generates ticket of issues from system,Genera ticket di problemi dal sistema
Generates Various Alarms From System,Genera vari allarmi dal sistema
Generates Various Country Reports From System,Genera vari rapporti paese dal sistema
Generates various reports from system,Genera vari rapporti dal sistema
Get Addons,Ottieni componenti aggiuntivi
Get App,Ottieni l'applicazione
Global,Globale
Grace Time,Grace Time
Grand Total,Somma totale
Group By,Raggruppa per
Group By #1,Raggruppa per # 1
Group By #2,Raggruppa per # 2
Group By #3,Raggruppa per # 3
Group By #Time,Raggruppa per #Time
Header,Intestazione
Homer,Omero
Host,Ospite
Import,Importare
Import Customers,Importa clienti
Import with field map,Importa con mappa del campo
Inbound,In entrata
Inbound Fax,Fax in entrata
Included Seconds,Secondi inclusi
Increment,Incremento
Initial Balance,Equilibrio iniziale
Initial Increment,Incremento iniziale
Inovices Older Than Days,Inovizi più vecchi di giorni
Install,Installare
Installed,Installed
Interval,Intervallo
Interval Type,Tipo di intervallo
Invoice Configuration ,Configurazione fattura
Invoice Date,Data fattura
Invoice Due Days,Giorni di scadenza fattura
Invoice Due Notification,Notifica fattura dovuta
Invoice Notification,Notifica fattura
Invoice Number,Numero di fattura
Invoice Prefix,Prefisso fattura
Invoice Start Form,Modulo di inizio fattura
Invoices,Fatture
IP,IP
IP Settings,Impostazioni IP
Is Equal To,È uguale a
Is Not Equal To,Non è uguale a
Is Purchased?,Viene acquistato?
Iso,Iso
Iso3,Iso3
IVR Count,Conteggio IVR
Languages,Le lingue
Last Execution Date,Data ultima esecuzione
Last Modified Date,Data ultima modifica
Last Name,Cognome
Last Paid Date,Data dell'ultimo pagamento
Latest Orders,Ultimi ordini
LC Charge / Min,Carica LC / min
LC Charge/Min,Carica LC / min
Live,Vivere
Live Call Report,Rapporto sulle chiamate in tempo reale
Live Id,Live Id
Live Key,Chiave live
Live Url,Live Url
Local Call Timeout,Timeout chiamata locale
Local Number,Numero locale
Local Numbers,Numeri locali
Locale code,Codice locale
Localization,Localizzazione
Localization Type,Tipo di localizzazione
Localizations,Localizzazioni
Log out,Disconnettersi
Log Path,Percorso registro
Logo,Logo
Low balance Alert?,Avviso di saldo basso?
Mail Log,Registro di posta
Manually,Manualmente
Markup,Markup
Mass Create,Creazione di massa
Mass Email,Email di massa
Max Free Length,Lunghezza massima libera
MCD,MCD
Minimum Fund Transfer,Trasferimento minimo di fondi
Minutes,Minuti
Minutes Announcement,Annuncio verbale
Minutes Breakdown,Ripartizione dei minuti
Moderate,Moderare
Modified Date,Data modificata
Module,Modulo
Name,Nome
New Accounts,Nuovi account
Nexmo API Key,Chiave API Nexmo
Nexmo Secret Key,Chiave segreta Nexmo
Next Execution Date,Data di esecuzione successiva
Nickname,Soprannome
No,No
No Records Found,Nessun record trovato
Notes,Appunti
Notifications,Notifiche
Notify before due days,Avvisare prima dei giorni di scadenza
Number,Numero
Number Type,Tipo di numero
 of , di 
Opensips,Opensips
Opensips DB Engine,Motore DB di Opensips
Opensips DB Host,Host di database Opensips
Opensips DB Name,Nome DB di Opensips
Opensips DB Pass,Pass DB di Opensips
Opensips DB User,Utente DB di Opensips
Opensips Domain,Dominio Opensips
Opensource,Opensource
Order,Ordine
Order Amount,Ammontare dell'ordine
Order Date,Data dell'ordine
Order ID,ID ordine
Order Now,Ordina adesso
Orders,Ordini
Org. Cost,Org. Costo
Org. Destination,Org. Destinazione
Org. Pefix,Org. Pefix
Origination Rates,Tassi di origine
Outbound Fax,Fax in uscita
Outstanding Amount INR,Importo eccezionale INR
Page ,Pagina 
Password,Parola d'ordine
Password Strength,Forza della password
Payment Method,Metodo di pagamento
Payment Methods,Modalità di pagamento
Payment Status,Stato del pagamento
Paypal,Paypal
Per Minute Cost,Costo al minuto
Phone,Telefono
Pin Input Timeout,Timeout input pin
Pin Length,Lunghezza pin
Pin retries,Riprova
Pinless Authentication,Autenticazione senza pin
Place Order ,Invia ordine
Playback Audio Notifications,Notifiche audio di riproduzione
Port,Porta
Portal personalization,Personalizzazione del portale
Powered by ASTPP,Alimentato da ASTPP
Prefix,Prefisso
Prepend,Anteponi
Preserve,Conserva
Price,Prezzo
Priority,Priorità
Product Category,categoria di prodotto
Product Details,Dettagli del prodotto
Product Name,nome del prodotto
Products,Prodotti
Profile Action,Azione profilo
Profit,Profitto
Provider,Provider
Provider CDRs Report ,Rapporto sui CDR del fornitore
Provider Outbound,Fornitore in uscita
Provider Outbound Report,Rapporto in uscita del fornitore
Provider Summary Report ,Rapporto di riepilogo del fornitore
Province,Provincia
Province/State,Provincia / Stato
Proxy,Proxy
Purge,Epurazione
Push Notifications,Le notifiche push
Quantity,Quantità
Rate,Vota
Rate Announcement,Annuncio di tasso
Rate Count,Conteggio dei tassi
Rate Group,Gruppo di valutazione
Rate Groups,Gruppi di valutazione
Rate Information,Informazioni sulla tariffa
Ratedeck,Ratedeck
Ratedeck Information,Informazioni su Ratedeck
Rates Count,Le tariffe contano
Realtime Billing,Fatturazione in tempo reale
Receiver Email,Email del destinatario
Recording Files Older Than Days,Registrazione di file più vecchi di giorni
 Records, Record
Referer Page,Pagina di riferimento
Refill By,Refill By
Refill Coupon Length,Lunghezza del buono di ricarica
Refill Coupons,Buoni di ricarica
Refill Report,Rapporto di ricarica
Refills,Ricariche
Register,Registrati
Release if no balance,Rilasciare se non c'è equilibrio
Report a Bug,Segnalare un bug
Reports,Rapporti
Request URI,Richiedi URI
Reseller,Rivenditore
Reseller can resell,Il rivenditore può rivendere
Reseller Summary,Riepilogo rivenditore
Reseller Summary Report ,Reseller Summary Report
Resellers,Rivenditori
Resellers CDRs Report ,Rapporto sui CDR dei rivenditori
Resend Mail,Invia di nuovo posta
Role,Ruolo
Roles & Permission,Ruoli e autorizzazioni
Roles & Permissions,Ruoli e autorizzazioni
Routing Prefix,Prefisso di instradamento
Routing Type,Tipo di instradamento
Sandbox,Sandbox
Sandbox Id,ID sandbox
Sandbox Key,Chiave sandbox
Sandbox Name,Nome sandbox
Sandbox Url,Sandbox Url
Save,Salva
Schedule Reports,Pianifica rapporti
Search,Ricerca
Select File,Seleziona il file
Select Year,Seleziona anno
Services,Servizi
Set Maximum Add card limit,Imposta il limite massimo di aggiunta della carta
Settings,impostazioni
Setup Fee,Costo di installazione
Signup,Iscriviti
SIP Devices,Dispositivi SIP
SIP IP,IP SIP
SIP Port,Porta SIP
SIP Profile,Profilo SIP
SIP Profiles,Profili SIP
SMS,sms
SMS Body,Corpo SMS
SMS Notifications,Notifiche SMS
SMS Status,Stato SMS
SMTP,SMTP
SMTP Host,Host SMTP
SMTP Pass,Passaggio SMTP
SMTP Port,Porta SMTP
SMTP User,Utente SMTP
Start prefix,Prefisso iniziale
Starting Digit,Cifra iniziale
Status,Stato
Strip,Striscia
Strong,Forte
Subject,Soggetto
Subscription,Sottoscrizione
Supportticket,Supportticket
Switch,Interruttore
Tariff,Tariffa
Tax,Imposta
Tax Information,Informazioni fiscali
Telephone,Telefono
Telephone as account number,Telefono come numero di conto
Templates,Modelli
Term. Cost,Termine. Costo
Term. Destination,Termine. Destinazione
Term. Prefix,Termine. Prefisso
Term. Trunk,Termine. Tronco
Termination Rates,Tariffe di terminazione
Third Party,Terzo
This Month,Questo mese
This Week,Questa settimana
Timelimit Announcement,Annuncio del limite di tempo
Timestamp,Timestamp
Timezone,Fuso orario
To,Per
To Number,Al numero
To Timestamp,A Timestamp
Today,Oggi
Top 10 Accounts,Primi 10 account
Top 10 Destinations,Le 10 migliori destinazioni
Total Calls ,Chiamate totali
Total Charges,Spese totali
Total Minutes,Minuti totali
Transaction ID,ID transazione
Translations,Traduzioni
Translations Language,Lingua delle traduzioni
Trunk,Tronco
Trunks,Trunks
Type,genere
Unpaid,Non pagato
Update,Aggiornare
Used,Usato
Used Date,Data usata
Username,Nome utente
Version,Versione
Version 4.0 Beta,Versione 4.0 Beta
View All,Mostra tutto
Voicemail,Segreteria telefonica
Panel Access,Accesso al pannello
Profile,Profilo
Billing Settings,Impostazioni di fatturazione
Pin,Pin
Account Settings,Impostazioni dell 'account
Notification Email,Email di notifica
Address,Indirizzo
NON-CLI Rate Group,Gruppo tariffario NON CLI
Billing Schedule,Programma di fatturazione
Billing Day,Giorno di fatturazione
Tax Number,Codice fiscale
Invoice Note,Nota fattura
Reference,Riferimento
Cancel,Annulla
Device Information,Informazioni sul dispositivo
Voicemail Options,Opzioni di posta vocale
Mail To,Invia a
Attach File,Allega file
Local After Email,Locale dopo e-mail
Send all Message,Invia tutti i messaggi
Close,Vicino
IP map,Mappa IP
Identificador de llamadas,Identificador de llamadas
Add Caller ID,Aggiungi ID chiamante
Create Reseller,Crea rivenditore
Role Name,Nome ruolo
Outstanding Amount,Importo eccezionale
To Date,Ad oggi
Before Balance,Prima dell'equilibrio
Commission Report,Rapporto della Commissione
MonthlyFee,Tariffa mensile
Grace Time (Sec.),Grace Time (Sec.)
Import DIDs,Importa DID
File must be in the following format,Il file deve essere nel seguente formato
DID Import Process,Processo di importazione DID
Get Sample file,Ottieni file di esempio
Check Header,Controlla intestazione
Select the file,Seleziona il file
Account Count,Conteggio account
Acc. Number Length,Acc. Lunghezza numero
Valid Days,Giorni validi
Create Access Number,Crea numero di accesso
Information,Informazione
Import Access Numbers,Importa numeri di accesso
Access Numbers Import Process,Accesso al processo di importazione dei numeri
DIDs Bulk Assign,Assegnazione collettiva DID
Bulk DID Purchase,Acquisto all'ingrosso DID
Provience,Provience
Assign Number,Assegna numero
DID Destination,DID Destinazione
DID Forward,DID Forward
Always,Sempre
If Busy,Se occupato
If SIP Not Registered,Se SIP non è registrato
If No Answer,Se nessuna risposta
New Rate Group Name,Nuovo nome del gruppo di tariffe
Duplicate Rate Group Information,Informazioni duplicate sul gruppo di tassi
Import Origination Rates,Tariffe di origine delle importazioni
Force Trunk,Force Trunk
Please select atleast one record to dele,Seleziona almeno un record da eliminare
Import Ratedeck,Importa Ratedeck
Optional Information,informazioni opzionali
From- Domain,Da- Dominio
From User,Dall'utente
Extension,Estensione
Extension-In-Contact,Estensione in contatto
Ping,Ping
Contact Params,Contatta Params
Retry-Seconds,Riprova in secondi
Register-Proxy,Register-Proxy
Channel,Canale
Failover GW Name,Nome GW di failover
Create Trunk,Crea tronco
Import Termination Rates,Tariffe di terminazione delle importazioni
Call Timeout (Sec.),Timeout chiamata (sec.)
Trunk List,Elenco dei trunk
Reset,Ripristina
Create SIP Profile,Crea profilo SIP
Create Freeswitch Server,Crea Freeswitch Server
Live Calls,Chiamate in tempo reale
Term Cost,Costo a termine
Term Destination,Termine di destinazione
Term Prefix,Prefisso del termine
Localizaciones,Localizaciones
Create Localization,Crea localizzazione
Origination,Origination
Termination,Risoluzione
Inbound Callerid Translation,Traduzione Callerid in entrata
Destination Number Translation,Traduzione del numero di destinazione
Outbound Callerid Translation,Traduzione Callerid in uscita
Create Call Barring,Crea blocco chiamate
Callbarring Settings,Impostazioni Callbarring
Product Summary Report,Rapporto di riepilogo del prodotto
SIP User,Utente SIP
Product,Prodotto
Taxes,Le tasse
Update Currencies,Aggiorna valute
File Name,Nome del file
Database Information,Informazioni sul database
Database Backup,Backup del database
Command,Comando
Cron Settings,Impostazioni cron
Create Cron Settings,Crea impostazioni cron
Stripe,Banda
Live Secret key,Chiave segreta live
Live Publishable key,Chiave pubblica in tempo reale
Set Percentage Charges,Imposta addebiti percentuali
Set Fix Charges,Imposta addebiti fissi
Stripe Mode,Modalità Stripe
Sandbox secret key,Chiave segreta Sandbox
Sandbox publishable key,Chiave pubblicabile sandbox
Version 4.0 Enterprise,Versione 4.0 Enterprise
Powered by,Offerto da
Import Customer Using Field Mapper,Importa cliente utilizzando Field Mapper
You must either select a field from your,Devi selezionare un campo dal tuo file
Records with duplicate account number an,Record con numero di conto duplicato an
Account Import Error,Errore di importazione dell'account
Back to Customer List,Torna all'elenco dei clienti
Duplicate accounts with account number /,Account duplicati con numero di conto /
Records imported successfully,Record importati con successo
Records not imported,Record non importati
Error In CSV File,Errore nel file CSV
Invoice Summary,Riepilogo fattura
Customer Details,Dettagli cliente
Invoice Details,Dettagli della fattura
Account Number,Numero di conto
Invoice Amount,Importo fattura
Invoice Item,Elemento fattura
Sub Total,Totale parziale
Total Due,Totale dovuto
Note,Nota
Add Setting,Aggiungi impostazione
Edit SIP Profile,Modifica profilo SIP
New,Nuovo
Used?,Usato?
View Email,Visualizza email
Active,Attivo
Inactive,Non attivo
Black List,Lista nera
White List,Lista bianca
Freeswitch Server Information,Informazioni sul server Freeswitch
Currencies,Valute
Edit Currency,Modifica valuta
Is Distributor,È distributore
Package created successfully!,Pacchetto creato con successo!
DID Removed Successfully.,È stato rimosso con successo.
DID not found.,DID non trovato.
Password changed Sucessfully....!!!,Password modificata con successo .... !!!
New Password & Conformpassword not match,Nuova password e password conforme non corrispondono
Invalid old passwword.,Vecchia password non valida.
Permission Denied!,Permesso negato!
Refill Coupon amount is added successful,L'importo del coupon di ricarica viene aggiunto correttamente
PLease upload maximum file,Si prega di caricare il file massimo
files added successfully!,file aggiunti con successo!
File Uploading Fail Please Try Again,Caricamento file non riuscito. Riprova
Please upload only image!,Carica solo un'immagine!
Invoice config updated successfully!,Configurazione della fattura aggiornata correttamente!
Your Profile Updated Successfully!,Il tuo profilo è stato aggiornato con successo!
Something wrong.Please contact to admini,Qualcosa non va Si prega di contattare ad admini
DID Released Successfully!,È stato rilasciato con successo!
IP already exist in system.,L'IP esiste già nel sistema.
IP Added Sucessfully.,IP aggiunto con successo.
IP Removed Sucessfully.,IP rimosso con successo.
SIP Device Updated Successfully!,Dispositivo SIP aggiornato con successo!
SIP Device Added Successfully!,Dispositivo SIP aggiunto con successo!
SIP Device Removed Sucessfully!,Dispositivo SIP rimosso con successo!
Caller ID Added Sucessfully!,ID chiamante aggiunto con successo!
Please Enter Caller ID value.,Immettere il valore dell'ID chiamante.
Caller ID already Exists.,L'ID chiamante esiste già.
Caller ID removed sucessfully!,ID chiamante rimosso con successo!
Alert Threshold Updated Successfully!,Soglia di avviso aggiornata con successo!
Can not trnasfer fund to postpaid custom,Non è possibile trasferire fondi a clienti postpagati
Access Denied! unable transfer fund to t,Accesso negato! incapace di trasferire fondi a t
You can not transfer fund in same accoun,Non è possibile trasferire fondi nello stesso conto
You can only transfer fund in same level,Puoi trasferire fondi solo allo stesso livello
Please enter To account number.,Immettere il numero di conto.
Please enter valid amount.,Inserisci un importo valido.
You have insufficient balance.,Hai un equilibrio insufficiente.
Please enter valid account number.,Inserisci un numero di conto valido.
Please enter amount greater then 0.,Inserisci un importo maggiore di 0.
You need to enter minimum for fund trans,Devi inserire il minimo per il trasferimento di fondi
Please enter valid account number!,Inserisci un numero di conto valido!
Insuffiecient amount !,Importo insufficiente!
Transfer successfully!,Trasferimento con successo!
Account number not found.,Numero di conto non trovato.
OpenSips updated successfully!,OpenSips aggiornato con successo!
Duplicate Username Found.Username Must b,Trovato nome utente duplicato. Nome utente deve b
User name is required field.,Il nome utente è un campo obbligatorio.
Opensips Device Removed Successfully!.,Dispositivo Opensips rimosso con successo !.
Speed-dial Number Added Successfully!,Numero di chiamata rapida aggiunto con successo!
Can not delete blank speeddial number,Impossibile eliminare il numero di selezione rapida vuoto
Speed-dial Number Removed Successfully!,Numero di chiamata rapida rimosso con successo!
Pin Updated Successfully!,Pin aggiornato con successo!
DID Updated Successfully!,Aggiornato con successo!
for fund transfer.,per il trasferimento di fondi.
You need to enter minimum,Devi inserire il minimo
please enter recharge value,si prega di inserire il valore di ricarica
New Password,nuova password
Old Password,vecchia password
Conform Password,Password conforme
Letters only please,Solo lettere per favore
IP Mapping,Mappatura IP
The Coupon Number field must contain onl,Il campo Numero coupon deve contenere solo
The Coupon Number field have inactive re,Il campo Numero coupon ha re inattivo
This Coupon Number is already in use.,Questo numero di coupon è già in uso.
This Coupon Number is not found.,Questo numero di coupon non è stato trovato.
The Coupon Number field is required.,Il campo Numero coupon è obbligatorio.
REFILL COUPON RECHARGE,RICARICA COUPON RICARICA
You just recharged,Ti sei appena ricaricato
account with The new balance will be,conto con Il nuovo saldo sarà
My Profile,Il mio profilo
My Account,Il mio account
Alert Threshold,Soglia di avviso
The Caller ID field is required.,Il campo ID chiamante è obbligatorio.
Change Password,Cambia la password
Bill Type,Tipo di fattura
Bill Days,Bill Days
New Products,Nuovi Prodotti
Active Products,Prodotti attivi
Outstanding,eccezionale
Today's Calls,Chiamate di oggi
Recent Calls,Chiamate recenti
The Available DIDs field is required.,Il campo DID disponibili è obbligatorio.
Please enter your password,per favore inserisci LA TUA password
Please enter your first name,Per favore immettere il proprio Nome
Please enter your email,Per favore inserisci la tua email
Please enter valid email,perfavore Inserisci un'email valida
This field is required.,Questo campo è obbligatorio.
Email Setting,Impostazioni e-mail
SMTP Password,Password SMTP
Are you sure want to remove logo?,Sei sicuro di voler rimuovere il logo?
The IP field must contain a unique value,Il campo IP deve contenere un valore univoco
The IP field have not valid IP.,Il campo IP non ha un IP valido.
The IP field is required.,Il campo IP è obbligatorio.
The Name field is required.,È richiesto il campo nome.
Please enter only alpha-numeric value,Immettere solo un valore alfanumerico
Are you sure want to delete speed dial r,Sei sicuro di voler eliminare la composizione rapida r
Generated Date,Data generata
My Products,I miei prodotti
Pinless CLI,CLI senza pin
Refill Coupon,Ricarica coupon
TopUp,Riempire
Pay with Paypal,Paga con Paypal
Pay with Card,Paga con carta
Assign,Assegnare
Send Credit,Invia credito
To Account,Per conto
From Account,Dall'account
Transfer,Trasferimento
Telephone 1,Telefono 1
Telephone 2,Telefono 2
Address 2,Indirizzo 2
Zip/Postal Code,Zip / Codice postale
User Profile,Profilo utente
Low Balance Alert Level,Livello di avviso di bilanciamento basso
Enable Email Alerts ?,Abilitare gli avvisi e-mail?
Low Balance Alert Email,Email di avviso per saldo basso
User name,Nome utente
Something went to wrong !,Qualcosa è andato storto!
Product Purchased successfully !,Prodotto acquistato con successo!
Insufficent Balance to purchase product ,Saldo insufficiente per l'acquisto del prodotto
Product assigned successfully!,Prodotto assegnato con successo!
Something went wrong !,Qualcosa è andato storto !
Product Not Found,Prodotto non trovato
Transaction has been failed,La transazione è fallita
not inserted. Transaction has been faile,non inserito. La transazione è stata fallita
Select Customer.,Seleziona cliente.
Product Information,Informazioni sul prodotto
Price+SetUp Fee,Prezzo + Commissione di setUp
Use Voucher,Usa il buono
Amount Without Tax,Importo senza tasse
Total Tax,Tasse totali
Amount With Tax,Importo con tasse
Parent Products,Prodotti principali
Edit Product,Modifica prodotto
Product updated successfully!,Prodotto aggiornato con successo!
Product added successfully!,Prodotto aggiunto con successo!
Product removed successfully!,Prodotto rimosso con successo!
Product optin successfully!,Scelta del prodotto con successo!
Edit Info,Modifica informazioni
Product assign successfully,Assegnazione del prodotto con successo
Insufficient balance to assign product!,Equilibrio insufficiente per assegnare il prodotto!
Terminated Updated Successfully!,Terminato Aggiornato con successo!
Terminated,Terminato
Setup Cost,Costo di installazione
Order New,Ordina nuovo
Caller ID updated successfully!,ID chiamante aggiornato con successo!
Caller ID added successfully!,ID chiamante aggiunto con successo!
Caller ID removed successfully!,ID chiamante rimosso con successo!
Name is not contain any space,Il nome non contiene spazi
Name already exist in system.,Il nome esiste già nel sistema.
Callbarring Settings Updated Successfull,Impostazioni Callbarring aggiornate con successo
allbarring Settings Added Successfully!,Impostazioni allbarring aggiunte con successo!
Call Barring Removed Successfully!,Blocco chiamate rimosso con successo!
Calltype already exist in system.,Il tipo di chiamata esiste già nel sistema.
Calltype Updated Successfully!,Calltype aggiornato con successo!
Calltype Added Successfully!,Calltype aggiunto con successo!
calltype removed successfully!,calltype rimosso con successo!
File must be in the following format(.cs,Il file deve essere nel seguente formato (.cs
Import Package Codes:,Importa codici pacchetto:
Records Imported Successfully:,Record importati correttamente:
Records Not Imported :,Record non importati:
Download Errors,Scarica errori
Back to Package Patterns List,Torna all'elenco dei modelli di pacchetto
Add To List,Aggiungi alla lista
Routing Prefix already exist in system.,Il prefisso di instradamento esiste già nel sistema.
Rate Group Updated Successfully!,Gruppo di valutazione aggiornato con successo!
Rate Group Added Successfully!,Gruppo di valutazione aggiunto con successo!
Duplicate Rate Group Added Successfully!,Gruppo di tassi duplicato aggiunto con successo!
Routing Prefix (Enterprise),Prefisso di instradamento (Enterprise)
Priority (Enterprise),Priorità (Enterprise)
Percentage (WIP) (Enterprise),Percentuale (WIP) (Enterprise)
LCR,LCR
Percentage,Percentuale
Tax removed successfully!,Tasse rimosse con successo!
Tax added successfully!,Tasse aggiunte con successo!
Tax updated successfully!,Tasse aggiornate con successo!
Charges List,Elenco delle spese
Trunk Updated Successfully!,Tronco aggiornato con successo!
Trunk Added Successfully!,Trunk aggiunto con successo!
Trunk removed successfully!,Tronco rimosso con successo!
setting updated successfully!,impostazione aggiornata con successo!
Template Updated Successfully!,Modello aggiornato con successo!
Template Added Successfully!,Modello aggiunto con successo!
Country Updated successfully!,Paese aggiornato con successo!
Country Added successfully!,Paese aggiunto con successo!
Country removed successfully!,Paese rimosso con successo!
Currency Updated Successfully!,Valuta aggiornata con successo!
My Rates,Le mie tariffe
Cost / Min,Costo / Min
Purchase,Acquista
Available DIDs,DID disponibili
New IP,Nuovo IP
Digits,Cifre
Email Address,Indirizzo email
Call Forward,Inoltro di chiamata
If Busy:,Se occupato:
If SIP Not Registered:,Se SIP non è registrato:
If No Answer:,Se nessuna risposta:
Pay Now,Paga ora
Pay with Account,Paga con conto
Please wait,attendere prego
Coupon Number:,Numero coupon:
Add Voucher,Aggiungi voucher
Selected Plan,Piano selezionato
My Product,Il mio prodotto
Parent Product,Prodotto principale
